"","author","n","title","aliases"
"1","d. peterson",30,"A method for estimating vulnerability of Douglas-fir growth to climate change in the northwestern U.S.","peterson, d. l.; peterson, dl; peterson, david l.; peterson, d. w."
"2","j. hicke",16,"Capturing subregional variability in regional-scale climate change vulnerability assessments of natural resources.","hicke, j. a.; hicke, jeffrey a.; ; "
"3","j. abatzoglou",14,"Climate contributors to forest mosaics: ecological persistence following wildfire.","abatzoglou, j. a.; abatzoglou, j.; abatzoglou, j. t.; abatzoglou, john t."
"4","j. littell",14,"A method for estimating vulnerability of Douglas-fir growth to climate change in the northwestern U.S.","littell, j. s.; littell, js; littell, jeremy s.; "
"5","m. turner",14,"Carbon storage on landscapes with stand-replacing fires.","turner, m. g.; turner, monica g.; turner, mg; "
"6","a. hamlet",11,"Adapting transportation to climate change on federal lands in Washington state, U.S.A.","hamlet, a. f.; hamlet, alan f.; hamlet, af; hamlet, a."
"7","b. bentz",11,"A test of high-dose verbenone for stand-level protection of lodgepole and whitebark pine from mountain pine beetle (Coleoptera : Curculionidae : Scolytinae) attacks","bentz, bj; bentz, barbara j.; bentz, b. j.; bentz, b."
"8","d. mckenzie",11,"Area burned in alpine treeline ecotones reflects region-wide trends.","mckenzie, d.; mckenzie, donald; mckenzie, don; "
"9","l. leung",11,"A SUBGRID PARAMETERIZATION OF OROGRAPHIC PRECIPITATION","leung, lr; leung, l. ruby; leung, l. r.; leung, l r
pacific northwest national laboratory, 902 battelle blvd., p.o. box 999, richland, wa 99352, usa,
rubyleung@pnl.gov
l
l r leung
leung
r
leung, lr , qian, y
y
y qian
qian
qian, y , bian, x
x
x bian
bian
bian, x , hunt, a
a
a hunt
hunt
hunt, a"
"10","d. isaak",10,"Anticipated climate warming effects on bull trout habitats and populations across the interior Columbia River basin","isaak, daniel; isaak, daniel j.; isaak, d. j.; isaak, dan"
"11","w. romme",10,"Carbon storage on landscapes with stand-replacing fires.","romme, w. h.; romme, william h.; romme, wh; "
"12","a. hansen",9,"Complex Challenges of Maintaining Whitebark Pine in Greater Yellowstone under Climate Change: A Call for Innovative Research, Management, and Policy Approaches","hansen, andrew; hansen, a. j.; hansen, andrew j.; "
"13","p. mote",9,"Declining mountain snowpack in western north America","mote, pw; mote, p.; mote, philip w.; mote, p. w."
"14","b. menounos",8,"Area change of glaciers in the Canadian Rocky Mountains, 1919 to 2006","menounos, b.; menounos, brian; ; "
"15","c. luce",8,"Anticipated climate warming effects on bull trout habitats and populations across the interior Columbia River basin","luce, charles; luce, charles h.; luce, charlie; luce, c. h."
"16","d. fagre",8,"Alpine treeline of Western North America: Linking organism-to-landscape dynamics","fagre, daniel b.; fagre, db; fagre, d. b.; fagre, d."
"17","d. lettenmaier",8,"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA","lettenmaier, dennis p.; lettenmaier, d. p.; lettenmaier, dp; "
"18","j. logan",8,"An innovative aerial assessment of Greater Yellowstone Ecosystem mountain pine beetle-caused whitebark pine mortality.","logan, j. a.; logan, jesse a.; logan, jennifer a.; logan, ja"
