id,doi,authors,title,journal,abstract,year,disciplines,type,keywords,source,include_final,Reviewer,Geographically appropriate?,Topically appropriate?,Include?,Notes,Mountainous quality questionable?
314,NA,"Raffa, Kenneth F.; Aukema, Brian H.; Bentz, Barbara J.; Carroll, Allan L.; Hicke, Jeffrey A.; Kolb, Thomas E.",Responses of Tree-killing Bark Beetles to a Changing Climate,CLIMATE CHANGE AND INSECT PESTS,"Bark beetles cause widespread tree mortality, so understanding how climate change will influence the distribution and magnitude of outbreaks by this group of herbivores is important. We first develop a framework of outbreak dynamics that emphasizes transitions from states dominated by negative feedback to those dominated by positive, density-dependent feedback. We then consider mechanisms by which temperature and precipitation changes can allow populations to breach critical thresholds, and the empirical data relating outbreaks to weather. Finally, we consider how anticipated climatic change, and relationships with new hosts and natural enemy guilds, may influence dynamics in new habitats. There is strong evidence that elevated temperature can increase over-wintering survival and decrease generation times of bark beetles, although evolved traits can also constrain response to warming in some habitats. Moreover, combinations of phenotypic plasticity, genotypic variation and physiological thresholds yield a broad range of conditions under which adults emerge synchronously, and thus can mass attack trees. There is likewise strong evidence that severe drought reduces tree defences against attack. Drought stress can occur through lower precipitation and/or higher temperatures that reduce soil moisture and/or raise vapour pressure deficit. We also delineate three categories of range modifications: increased and more persistent establishment in areas where trees experienced only intermittent exposure historically; establishment in areas dominated by host species but where local populations experienced little or no pressure historically; and movement into new areas containing susceptible species that have not been exposed previously. Each of these has been documented for bark beetles. Trees in areas that experienced minor or no exposure generally had lower defences than their more historically exposed counterparts. However, there can be lags in beetle behavioural responses. In some cases, more heterogeneous forest structure, more abundant local predators and competitors and low host nutritional quality could potentially lessen risk in new habitats. Direct comparative studies are needed to evaluate outbreak potentials following range expansions driven by climate warming.",2015,Entomology; Environmental Sciences & Ecology,Article; Book Chapter,NA,web_of_science,Maybe,Micah,No,Yes,No,no access to publication; probably a review paper,
1424,NA,"Hendricks, P","Spring snow conditions, laying date, and clutch size in an alpine population of American Pipits",JOURNAL OF FIELD ORNITHOLOGY,"Date of clutch initiation and mean clutch size for an alpine population of American Pipits (Anthus rubescens) in northern Wyoming varied significantly among seven years sampled during 1963-1995. Because American Pipits are obligate ground-nesters in an environment devoid of trees, I examined the hypothesis that spring snow conditions cause the annual variation in mean laying date and resulting clutch size. Mean clutch size was highly correlated with mean laying date, and both traits were highly correlated with the snow water equivalent (SWE) on I May. Reduced SWE resulted in earlier onset of egg laying and indirectly in increased clutch size. Trend analyses for 1961-2002 showed an 18% decline in I May SWE and an earlier date of snowmelt by 7 d, indicating that an earlier onset of egg laying by about 5 d may have occurred over the same period, with a corresponding increase in mean clutch size of 0.2 eggs. This result supports the global pattern for various bird species of earlier onset of nesting during the last few decades. Annual laying date and clutch size of American Pipits appear to respond predictably to short-term (annual) changes in spring snow conditions at this high-elevation location and may prove useful for projecting reproductive responses of alpine birds to changing trends in climate.",2003,Zoology,Article,American Pipit; anthus rubescens; climate change; clutch size; laying date; snow conditions; wyoming,web_of_science,Maybe,Micah,No,Maybe,No,Beartooth Mts - WY/MT,
191,10.1175/JHM-D-14-0179.1,"Hinkelman, Laura M.; Lapo, Karl E.; Cristea, Nicoleta C.; Lundquist, Jessica D.",Using CERES SYN Surface Irradiance Data as Forcing for Snowmelt Simulation in Complex Terrain,JOURNAL OF HYDROMETEOROLOGY,"The benefit of using solar and longwave surface irradiance data from NASA's Clouds and the Earth's Radiant Energy System (CERES) synoptic (SYN) satellite product in simulations of snowmelt has been examined. The accuracy of the SYN downwelling solar and longwave irradiances was first assessed by comparison to measurements at NOAA's Surface Radiation Network (SURFRAD) reference stations and to remote mountain observations. Typical shortwave (longwave) biases had magnitudes less than 30 (10) W m(-2), with most standard deviations below 140 (30) W m(-2). The performance of a range of snow models of varying complexity when using SYN irradiances as forcing data was then evaluated. Simulated snow water equivalent and runoff from cases using SYN data fell in the range of those from simulations forced with irradiances from well-maintained surface observation sites as well as empirical methods that have been shown to perform well in mountainous terrain. The SYN irradiances are therefore judged to be suitable for use in snowmelt modeling. It is also noted that the SYN upwelling shortwave irradiances, and hence albedos derived from them, are frequently not representative of individual monitoring stations because of the high spatial variability of snow cover and other surface properties in mountainous regions. In addition, adjusting the SYN downwelling longwave irradiances to reflect the exact elevation of the point of interest relative to the mean altitude of the satellite grid box is recommended.",2015,Meteorology & Atmospheric Sciences,Article,Radiative fluxes; Snow cover; Satellite observations; Hydrologic models; Mountain meteorology,web_of_science,Maybe,Micah,No,Maybe,No,snow modeling,
1003,10.1002/hyp.7724,"Smerdon, B. D.; Allen, D. M.; Neilsen, D.","Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",HYDROLOGICAL PROCESSES,"Spatially distributed groundwater recharge was simulated for a segment of a semi-arid valley using three different treatments of meteorological input data and potential evapotranspiration (PET). For the same area, timeframe, land cover characteristics and soil properties, groundwater recharge was estimate using (i) single-station climate data with monthly PET calculated by the Thornthwaite method; (ii) single-station climate data with daily PET calculated by the Penman-Monteith method; and (iii) daily gridded climate data with spatially distributed PET calculated using the Penman-Monteith method. For each treatment, the magnitude and distribution of actual evapotranspiration (AET) for summer months compared well with those estimated for a 5-year crop study, suggesting that the near-surface hydrological processes were replicated and that subsequent groundwater recharge rates are realistic. However, for winter months, calculated AET was near zero when using the Thornthwaite PET method. Mean annual groundwater recharge varied from similar to 3.2 to 10.0 mm when PET was calculated by the Thornthwaite method, and from similar to 1.8 to 7.5 mm when PET was calculated by the Penman-Monteith method. Comparisons of bivariate plots of seasonal recharge rates estimated from single-station versus gridded surface climate reveal that there is greater variability between the different methods for spring months, which is the season of greatest recharge. Furthermore, these seasonal differences are shown to provide different results when compared to the depth to water table, which could lead to different results of evaporative extinction depth. These findings illustrate potential consequences of using different approaches for representing spatial meteorological input data, which could provide conflicting predictions when modelling the influence of climate change on groundwater recharge. Copyright (C) 2010 John Wiley & Sons, Ltd.",2010,Water Resources,Article,climate surface; semi-arid; recharge; mountain; MIKE-SHE,web_of_science,Maybe,Micah,Yes,Yes,Yes,Okanagan R,
1049,10.1371/journal.pone.0010026,"Hobbs, William O.; Telford, Richard J.; Birks, H. John B.; Saros, Jasmine E.; Hazewinkel, Roderick R. O.; Perren, Bianca B.; Saulnier-Talbot, Emilie; Wolfe, Alexander P.",Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,PLOS ONE,"Background: Although arctic lakes have responded sensitively to 20(th)-century climate change, it remains uncertain how these ecological transformations compare with alpine and montane-boreal counterparts over the same interval. Furthermore, it is unclear to what degree other forcings, including atmospheric deposition of anthropogenic reactive nitrogen (Nr), have participated in recent regime shifts. Diatom-based paleolimnological syntheses offer an effective tool for retrospective assessments of past and ongoing changes in remote lake ecosystems. Methodology/Principal Findings: We synthesized 52 dated sediment diatom records from lakes in western North America and west Greenland, spanning broad latitudinal and altitudinal gradients, and representing alpine (n = 15), arctic (n = 20), and forested boreal-montane (n = 17) ecosystems. Diatom compositional turnover (beta-diversity) during the 20(th) century was estimated using Detrended Canonical Correspondence Analysis (DCCA) for each site and compared, for cores with sufficiently robust chronologies, to both the 19(th) century and the prior similar to 250 years (Little Ice Age). For both arctic and alpine lakes, beta-diversity during the 20(th) century is significantly greater than the previous 350 years, and increases with both latitude and altitude. Because no correlation is apparent between 20(th)-century diatom beta-diversity and any single physical or limnological parameter (including lake and catchment area, maximum depth, pH, conductivity, [NO3-], modeled Nr deposition, ambient summer and winter air temperatures, and modeled temperature trends 1948-2008), we used Principal Components Analysis (PCA) to summarize the amplitude of recent changes in relationship to lake pH, lake: catchment area ratio, modeled Nr deposition, and recent temperature trends. Conclusions/Significance: The ecological responses of remote lakes to post-industrial environmental changes are complex. However, two regions reveal concentrations of sites with elevated 20(th)-century diatom beta-diversity: the Arctic where temperatures are increasing most rapidly, and mid-latitude alpine lakes impacted by high Nr deposition rates. We predict that remote lakes will continue to shift towards new ecological states in the Anthropocene, particularly in regions where these two forcings begin to intersect geographically.",2010,Science & Technology - Other Topics,Article,NA,web_of_science,Maybe,Micah,No,Yes,Yes,Rocky Mts - Outside CRB,
1164,10.1002/hyp.7162,"Moore, R. D.; Fleming, S. W.; Menounos, B.; Wheate, R.; Fountain, A.; Stahl, K.; Holm, K.; Jakob, M.",Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,HYDROLOGICAL PROCESSES,"The glaciers of western Canada and the conterminous United States have dominantly retreated since the end of the Little Ice Age (LIA) in the nineteenth century, although average rates of retreat varied from strong in the first-half of the twentieth century, with glaciers stabilizing or even advancing until 1980, and then resuming consistent recession. This retreat has been accompanied by statistically detectable declines in late-summer streamflow from glacier-fed catchments over much of the Study area, although there is some geographical variation: over recent decades, glaciers in northwest BC and southwest Yukon have lost mass dominantly by thinning with relatively low rates of terminal retreat, and glacier-fed streams in that region have experienced increasing flows. In many valleys, glacier retreat has produced geomorphic hazards, including outburst floods from moraine-dammed lakes, mass failures from oversteepened valley walls and debris flows generated on moraines. In addition to these hydrologic and geomorphic changes, evidence is presented that glacier retreat will result in higher stream temperatures, possibly transient increases in suspended sediment fluxes and concentrations, and changes in water chemistry. With climate projected to continue warming over the twenty-first century, current trends in hydrology, geomorphology and water quality should continue, with a range of implications for water resources availability and management and hydroecology, particularly for cool and cold-water species such as salmonids. Copyright (C) 2008 John Wiley & Sons, Ltd.",2009,Water Resources,Review,glacier change; climate change; streamflow; water quality; geomorphic hazards,web_of_science,Maybe,Micah,Yes,Yes,Yes,N. Cascades NP area,
1221,10.1016/j.agrformet.2007.09.010,"Kwon, Hyojung; Pendall, Elise; Ewers, Brent E.; Cleary, Meagan; Naithani, Kusum",Spring drought regulates summer net ecosystem CO2 exchange in a sagebrush-steppe ecosystem,AGRICULTURAL AND FOREST METEOROLOGY,"Climate, as reflected by seasonal variations in precipitation and temperature, plays a critical role in ecosystem productivity and composition in the Western US and other and regions. This study was conducted in the sagebrush-steppe ecosystem co-dominated by mountain big sagebrush (Artemisia tridentata var. vaseyana) and perennial grasses in south-central Wyoming across two growing seasons (2004 and 2005). A dry spring in 2004 and a wet spring in 2005 provided an opportunity to evaluate the influence of precipitation timing on the magnitudes and patterns of net ecosystem CO2 exchange (NEE) and its environmental drivers. Summer weather conditions (light, temperature, and vapor pressure deficit) for the 2 years were similar but deep soil moisture content was lower in 2004. Daily rates of NEE demonstrated a net carbon source in 2004 and a net carbon sink in 2005. Midday depression of NEE frequently occurred in both measurement years (June-August in 2004 and mid July-August in 2005) due to stomatal control restricting water loss from the system under low soil moisture and high temperature and vapor pressure deficit conditions. Across different soil moisture regimes, the controlling factors on NEE differed. Under water limitation, soil water availability (soil drought) was the main driving factor of growing season NEE regardless of weather conditions while vapor pressure deficit (atmospheric drought) was the main driver of NEE when the ecosystem was not limited by soil moisture. Nighttime NEE showed strong non-linear relationship with soil moisture but no relationship with soil temperature, demonstrating that respiratory processes in the sagebrush-steppe ecosystem were limited by soil moisture during summer. The dynamic response of NEE to two summer seasons with dissimilar spring precipitation indicates that intra-seasonal variability in precipitation and subsequent impact on deep soil moisture should be taken into consideration to explain magnitudes and patterns of NEE at diurnal to seasonal time scales. (C) 2007 Published by Elsevier B.V.",2008,Agriculture; Forestry; Meteorology & Atmospheric Sciences,Article,dynamic response; precipitation timing; soil and atmospheric drought,web_of_science,Maybe,Micah,No,Maybe,No,Sierra Madre Mts - WY,
1439,10.1046/j.1365-2486.2003.00559.x,"Perfors, T; Harte, J; Alter, SE",Enhanced growth of sagebrush (Artemisia tridentata) in response to manipulated ecosystem warming,GLOBAL CHANGE BIOLOGY,"Global models project impending climate changes that could significantly alter plant species composition in ecosystems. Climate manipulation experiments provide an opportunity to investigate such effects. Here we describe and apply a method for extracting the age-detrended growth rate of sagebrush (Artemisia tridentata Nutt.) and show that experimental ecosystem warming enhances the growth rate of this shrub. Snowmelt date, not soil temperature or moisture, is demonstrated to be the dominant climate variable controlling the observed effect. Our findings suggest that global climate change will result in increased growth and range expansion of sagebrush near northern or high-elevation range boundaries in the Western United States.",2003,Biodiversity & Conservation; Environmental Sciences & Ecology,Article,age-detrending; climate change; dendrochronology; sagebrush; snowmelt,web_of_science,Maybe,Micah,No,Maybe,No,CO,
322,10.5194/hess-19-3253-2015,"Sproles, E. A.; Leibowitz, S. G.; Reager, J. T.; Wigington, P. J., Jr.; Famiglietti, J. S.; Patil, S. D.",GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,HYDROLOGY AND EARTH SYSTEM SCIENCES,"We characterize how regional watersheds function as simple, dynamic systems through a series of hysteresis loops using measurements from NASA's Gravity Recovery and Climate Experiment (GRACE) satellites. These loops illustrate the temporal relationship between runoff and terrestrial water storage in three regional-scale watersheds (> 150 000 km(2)) of the Columbia River Basin, USA and Canada. The shape and size of the hysteresis loops are controlled by the climate, topography, and geology of the watershed. The direction of the hystereses for the GRACE signals moves in opposite directions from the isolated groundwater hystereses. The subsurface water (soil moisture and groundwater) hystereses more closely resemble the storage-runoff relationship of a soil matrix. While the physical processes underlying these hystereses are inherently complex, the vertical integration of terrestrial water in the GRACE signal encapsulates the processes that govern the non-linear function of regional-scale watersheds. We use this process-based understanding to test how GRACE data can be applied prognostically to predict seasonal runoff (mean Nash-Sutcliffe Efficiency of 0.91) and monthly runoff during the low flow/high demand month of August (mean Nash-Sutcliffe Efficiency of 0.77) in all three watersheds. The global nature of GRACE data allows this same methodology to be applied in other regional-scale studies, and could be particularly useful in regions with minimal data and in trans-boundary watersheds.",2015,Geology; Water Resources,Article,NA,web_of_science,Maybe,Micah,Yes,Maybe,Yes,CRB,
347,10.1002/2013WR014696,"Xu, Wenchao; Lowe, Scott E.; Adams, Richard M.","Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",WATER RESOURCES RESEARCH,"We conduct a hedonic analysis to estimate the response of agricultural land use to water supply information under the Prior Appropriation Doctrine by using Idaho as a case study. Our analysis includes long-term climate (weather) trends and water supply conditions as well as seasonal water supply forecasts. A farm-level panel data set, which accounts for the priority effects of water rights and controls for diversified crop mixes and rotation practices, is used. Our results indicate that farmers respond to the long-term surface and ground water conditions as well as to the seasonal water supply variations. Climate change-induced variations in climate and water supply conditions could lead to substantial damages to irrigated agriculture. We project substantial losses (up to 32%) of the average crop revenue for major agricultural areas under future climate scenarios in Idaho. Finally, farmers demonstrate significantly varied responses given their water rights priorities, which imply that the distributional impact of climate change is sensitive to institutions such as the Prior Appropriation Doctrine.",2014,Environmental Sciences & Ecology; Marine & Freshwater Biology; Water Resources,Article,NA,web_of_science,Maybe,Micah,Yes,Yes,Yes,ID - CRB,
