,authors,title,journal,language,type,keywords,keywords2 (assigned by web of science),abstract,year,doi,disciplines,wos_id,Assignment Round 1,Round 1: CRB headwaters?,Round 1: Topically appropriate?,Round 1: Include?,Round 1: Geographic scale,Round 1 Notes,Round 2: Assignment,Round 2: CRB headwaters?,Round 2: Topically appropriate?,Round 2: Include?,Round 2: Geographic scale,Round 2: Notes,Round 3: Assignment,Round 3: Mountainous CRB headwaters?,Round 3: Topically appropriate? ,Round 3: Include?,Round 3: Notes,Round 4: Assignment,Round 4: Mountainous CRB headwaters?,Round 4: Topically appropriate?,Round 4: Inlude?,Round 4: Notes,Mountainous quality questionable?
473,"Yuan, Na; Sun, Yi; Comes, Hans-Peter; Fu, Cheng-Xin; Qiu, Ying-Xiong",UNDERSTANDING POPULATION STRUCTURE AND HISTORICAL DEMOGRAPHY IN A CONSERVATION CONTEXT: POPULATION GENETICS OF THE ENDANGERED KIRENGESHOMA PALMATA (HYDRANGEACEAE),AMERICAN JOURNAL OF BOTANY,English,Article,effective population size; historical and contemporary gene flow; Hydrangeaceae; Kirengeshoma palmata; microsatellites; population differentiation,ALLELE FREQUENCY DATA; MULTILOCUS GENOTYPE DATA; ATLANTIC SALMON; MOLECULAR PHYLOGEOGRAPHY; MICROSATELLITE ANALYSIS; QUATERNARY CLIMATE; ANALYSIS REVEALS; MIGRATION RATES; FLOW; CHINA,"Premise of the study: Both historical and contemporary microevolutionary processes greatly influence the genetic patterns of East Asian plant endemics, but the spatial and temporal contexts of these processes remain poorly understood. Here, we investigate the relative influences of historical and contemporary gene flow and drift on the population genetic structure of Kirengeshoma palmata, a perennial herb from East China and South Japan. Methods: We used data from nine polymorphic microsatellite loci to assess the levels of genetic diversity, effective population size, and contemporary and historical gene flow for six of the seven known populations. Key results: We found high levels of inbreeding and allelic diversity within populations. Both contemporary and historical migration rates among populations were low, and a test of alternate models of population history strongly favored a model of long-term drift-migration equilibrium. We inferred declines in population size ca. 10000-100000 yr ago, but failed to detect recent declines. Bayesian clustering divided K. palmata populations into three genetic clusters, two of which were consistent with a glacial refugium hypothesis for two mountain ranges in East China. Conclusions: These results suggest that anthropogenic fragmentation has had little effect on the genetic characteristics of Chinese K. palmata. Rather, past decline in population size due to Late Pleistocene climate change as well as restricted pollen and seed dispersal may have contributed to low levels of both historical and contemporary gene flow, resulting in high genetic differentiation between adjacent mountain ranges due to genetic drift and inbreeding.",2014,10.3732/ajb.1400043,Plant Sciences,WOS:000340452200013,Adrienne,No,Maybe,No,,,Meghan,,,No,,,NA,,,,,Adrienne,No,Maybe,International,Asia,
530,"Montgomery, David R.; Huang, Michelle Y. -F.; Huang, Alice Y. -L.","Regional soil erosion in response to land use and increased typhoon frequency and intensity, Taiwan",QUATERNARY RESEARCH,English,Article,Erosion; Sedimentation; Land use; Typhoon,INDUCED LANDSLIDES; CLIMATE-CHANGE; MOUNTAIN BELT; EARTHQUAKE; SEDIMENT; IMPACTS; RIVER,"Reservoir sedimentation data and sediment yields from Taiwanese rivers show increased soil erosion in response to both 20th century changes in land use and a more recent increase in typhoon frequency and intensity. Decadal variations of up to 5- to 20-fold in suspended-sediment rating curves demonstrate supply-limited transport and correspond to increased sediment delivery from hillslopes due to changes in land use, regional ground shaking during the Chi-Chi earthquake, and post-2000 changes in typhoon frequency and intensity. While accelerated erosion in central Taiwan after the Chi-Chi earthquake has been documented previously, our results show that periods of increased upland erosion also occurred earlier, in response to 20th century changes in land use. Analyses of rainfall records and typhoon frequency for the period 1900-2009 further point to an island-wide increase in erosion rates corresponding to increased typhoon frequency and intensity after 1990. (C) 2013 University of Washington. Published by Elsevier Inc. All rights reserved.",2014,10.1016/j.yqres.2013.10.005,Physical Geography; Geology,WOS:000329956800002,Adrienne,No,Yes,No,,,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,,
589,"Blanco-Pastor, J. L.; Fernandez-Mazuecos, M.; Vargas, P.",Past and future demographic dynamics of alpine species: limited genetic consequences despite dramatic range contraction in a plant from the Spanish Sierra Nevada,MOLECULAR ECOLOGY,English,Article,alpine-Mediterranean; Bayesian skyline plots; conservation; climate change; effective population size; Linaria; species distribution modelling,NORTHERN-HEMISPHERE TEMPERATURES; CLIMATE-CHANGE; BAYESIAN-INFERENCE; POPULATION-SIZE; HAPLOTYPE RECONSTRUCTION; EVOLUTIONARY ADAPTATION; MEDITERRANEAN BASIN; SAXIFRAGA-AIZOIDES; STATISTICAL-METHOD; DNA POLYMORPHISM,"Anthropogenic global climate change is expected to cause severe range contractions among alpine plants. Alpine areas in the Mediterranean region are of special concern because of the high abundance of endemic species with narrow ranges. This study combined species distribution models, population structure analyses and Bayesian skyline plots to trace the past and future distribution and diversity of Linaria glacialis, an endangered narrow endemic species that inhabits summits of Sierra Nevada (Spain). The results showed that: (i) the habitat of this alpine-Mediterranean species in Sierra Nevada suffered little changes during glacial and interglacial stages of late Quaternary; (ii) climatic oscillations in the last millennium (Medieval Warm Period and Little Ice Age) moderately affected the demographic trends of L. glacialis; (iii) future warming conditions will cause severe range contractions; and (iv) genetic diversity will not diminish at the same pace as the distribution range. As a consequence of the low population structure of this species, genetic impoverishment in the alpine zones of Sierra Nevada should be limited during range contraction. We conclude that maintenance of large effective population sizes via high mutation rates and high levels of gene flow may promote the resilience of alpine plant species when confronted with global warming.",2013,10.1111/mec.12383,Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology,WOS:000322886400005,Adrienne,No,Yes,No,,,NA,,,,,,NA,,,,,Adrienne,No,Yes,International,,
606,"Pedreros, Pablo; Guevara, Meyer; Figueroa, Ricardo; Araneda, Alberto; Stehr, Alejandra; Link, Oscar; Urrutia, Roberto",Thermal behavior of Mediterranean Andean streams in South-Central Chile,LIMNETICA,Spanish,Article,Local factors; altitudinal pattern; thermal regime; Andean streams,WATER TEMPERATURES; RIVER TEMPERATURE; SALMON STREAM; PATTERNS; VARIABILITY; HETEROGENEITY; PERSPECTIVE; RESPONSES; DYNAMICS; INSECTS,"Despite of the importance of temperature in the fluvial ecosystems, the knowledge of its spatial and temporal variability in Andean rivers is limited, thus it is necessary to clarify the relative importance of site-specific factors in controlling the temperature of rivers. The aim of this research was to characterize the thermal regime of five Andean streams through an altitudinal gradient. The results show that there is a spatial and temporal variability in water temperature with a relatively rapid rise in temperature in mid-December, being stable in January and February, and a rapid decrease at the beginning of March and April. The thermal heterogeneity recorded in the high Andean zone of the Biobio River Basin makes it clear that geomorphology characteristics of each site are important in regulating water, temperature, associated mainly with the altitude and shade; this latter mainly generated by high mountains and in some cases by the timberline. It is known that thermal variability, mainly the maximum and minimum mean temperatures; causing severe stress on stenotherm organisms. Therefore, a deeper knowledge of the river temperature is essential for the management and future protection of the Andean freshwater ecosystems to mitigate the impacts associated to the global warming.",2013,,Marine & Freshwater Biology,WOS:000322925300009,Adrienne,No,Maybe,No,,,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,BioBio,
673,"Pompa-Garcia, Marin; Cerano-Paredes, Julian; Fule, Peter Z.",Variation in radial growth of Pinus cooperi in response to climatic signals across an elevational gradient,DENDROCHRONOLOGIA,English,Article,Tree-rings; Dendrochronology; Tree growth-climate relationships; Durango-Mexico; Pinus cooperi,NORTHERN ARIZONA; BRITISH-COLUMBIA; DOUGLAS-FIR; TREE GROWTH; TEMPERATURE; MEXICO; CHRONOLOGIES; VARIABILITY; DROUGHT; CANADA,"Climate change could modify the biogeography of many forest species. Elevational gradients have been documented as strategic sites to better understand tree growth response to regional climate variables. Pinus cooperi Blanco is one of the most important species in Northern Mexico. However, little is known concerning effects of climate responses on growth of this species. We used tree data records to compare the influence of precipitation and temperature on radial growth among P. cooperi populations across a mountain landscape at elevation gradient. Correlation and regression analysis of the regional growth-climate relationships showed that radial growth was correlated with previous winter conditions at most sites along the gradient. Wet and cold winters were positively associated with radial growth. Although our results showed significant climate influences on tree radial growth, other site factors also may have affected growth-climate responses. The results support the idea that climate change influences P. cooperi growth. (C) 2013 Elsevier GmbH. All rights reserved.",2013,10.1016/j.dendro.2013.05.003,Plant Sciences; Forestry; Physical Geography,WOS:000325242300009,Becky,No,Yes,No,,Northern Mexico,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,,
777,"Stoffel, Markus; Huggel, Christian",Effects of climate change on mass movements in mountain environments,PROGRESS IN PHYSICAL GEOGRAPHY,English,Article,Alps; climate change; glacier; hazard; landslide; mass movement; permafrost,HAZARD ASSESSMENT INVESTIGATIONS; BRITISH-COLUMBIA; SWISS ALPS; LANDSLIDE ACTIVITY; SLOPE STABILITY; DEBRIS FLOWS; NEW-ZEALAND; PRECIPITATION EXTREMES; CATASTROPHIC DRAINAGE; MODEL PROJECTIONS,"Changes in temperature and precipitation have a range of impacts, including change of glacier extent, extent and duration of snow cover, and distribution and thermal properties of permafrost. Similarly, it is likely that climatic changes affect frequency and magnitude of mass movements, such as shallow landslides, debris flows, rock slope failures, or ice avalanches. However, so far changes in mass-movement activity can hardly be detected in observational records. In this progress report we document the role of climate variability and change on mass-movement processes in mountains through the description and analysis of selected, recent mass movements where effects of global warming and the occurrence of heavy precipitation are thought to have contributed to, or triggered, events. In addition, we assess possible effects of future climatic changes on the incidence of mass-movement processes. The report concentrates on high-mountain systems, including processes such as glacier downwasting and the formation of new ice-marginal lakes, glacier debuttressing and the occurrence of rock slope instability, temperature increase and permafrost degradation, as well as on changing sediment reservoirs and sediment supply, with a clear focus on studies from the European Alps.",2012,10.1177/0309133312441010,Physical Geography; Geology,WOS:000304660400007,Becky,No,Yes,No,,European Alps,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,,
795,"Wang, Puyu; Li, Zhongqin; Li, Huilin; Cao, Min; Wang, Wenbin; Wang, Feiteng","Glacier No. 4 of Sigong River over Mt. Bogda of eastern Tianshan, central Asia: thinning and retreat during the period 1962-2009",ENVIRONMENTAL EARTH SCIENCES,English,Article,Surface elevation change; Terminus change; Glacier No. 4 of Sigong River; Mt. Bogda; Tianshan,MASS-BALANCE MEASUREMENTS; MOUNTAIN GLACIERS; ELEVATION CHANGES; TIBETAN PLATEAU; BRENVA GLACIER; CLIMATE-CHANGE; TIEN-SHAN; MODEL; USA; WASHINGTON,"RTK-GPS data, aerial photographs and Aster images were used to quantify volume, surface elevation, terminus position and area changes of Glacier No. 4 of Sigong River over Mt. Bogda, Tianshan during the period from 1962 to 2009. Glacier surface elevation of the tongue area decreased by 15 +/- A 8 m (0.32 +/- A 0.17 m a(-1)) and ice volume loss reached 0.014 +/- A 0.008 km(3) (0.013 +/- A 0.007 km(3) w. e.). The glacier terminus retreated at a rate of 8.0 m a(-1) and the area decreased by about 0.53 km(2), accounting for 15.8% of the glacier area in 1962 (3.33 km(2)). The changes can be primarily attributed to the significant increase in temperature in this region. A comparison with glacier changes by field measurements in other regions of eastern Tianshan showed obvious spatial differences in the magnitude of the changes, owing to a combination of regional climate change and topographical factors.",2012,10.1007/s12665-011-1236-0,Environmental Sciences & Ecology; Geology; Water Resources,WOS:000302744100023,Becky,No,Yes,No,,Tianshan,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,,
1076,"Michalik, Jozef; Biron, Adrian; Lintnerova, Otilia; Goetz, Annette E.; Ruckwied, Katrin","Climate change at the Triassic/Jurassic boundary in the northwestern Tethyan realm, inferred from sections in the Tatra Mountains (Slovakia)",ACTA GEOLOGICA POLONICA,English,Article,Triassic/Jurassic boundary; Palynology; Carbon isotopes; Clay mineralogy; Palaeoclimate,TRIASSIC-JURASSIC BOUNDARY; SUCCESSION LAGONEGRO BASIN; QUEEN-CHARLOTTE-ISLANDS; RAY-POWDER DIFFRACTION; WESTERN CARPATHIANS; MASS EXTINCTION; ILLITE-SMECTITE; CLAY-MINERALS; SOUTHERN APENNINES; BRITISH-COLUMBIA,"Sedimentological, palynological, clay mineralogical and carbon isotope studies were carried out on the Triassic/Jurassic (T/J) boundary interval in the NW Tethyan Realm. The analyses are based on two sections in the Slovakian Tatra Mountains (western Carpathians): the Siroky Zl'ab section in the Med'odoly Valley and the Furkaska section above the Juranova Valley. Clay mineralogical analysis suggests an increasing intensity of chemical weathering in the hinterland due to increasing humidity. The palynological data do not allow the inference of a major T/J boundary mass extinction event. The observed striking increase in spores points instead to sudden climatic change, interpreted as a result of distant volcanic activity associated with the onset of rifting of Pangea. The delta(13)C(org) excursion across the T/J boundary follows the globally documented perturbation of the carbon cycle during this period. it may be used for a more precise regional and global correlation.",2010,,Geology,WOS:000286119600003,Courtney,No,,No,,Slovakia,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,,
1081,"Zhao, Yan; Yu, Zicheng; Liu, Xiuju; Zhao, Cheng; Chen, Fahu; Zhang, Ke",Late Holocene vegetation and climate oscillations in the Qaidam Basin of the northeastern Tibetan Plateau,QUATERNARY RESEARCH,English,Article,Late Holocene; Artemisia/Chenopodiaceae pollen ratio; Fossil pollen; Climate change; Qaidam Basin; Tibetan Plateau,ICE CORE EVIDENCE; INNER-MONGOLIA; DESERT VEGETATION; NORTHWEST CHINA; SURFACE POLLEN; LAKE; SEDIMENTS; RECORD; RECONSTRUCTION; PRECIPITATION,"Pollen evidence from sediment cores at Hurleg and Toson lakes in the Qaidam Basin was obtained to examine vegetation and climatic change in the northeastern Qinghai-Tibetan Plateau. The chronologies were controlled by (210)Pb and (137)Cs analysis and AMS (14)C dating. Pollen assemblages from both lakes are dominated by Chenopodiaceae (similar to 40%), Artemisia (similar to 30-35%) and Poaceae (similar to 20-25%), with continued occurrence but low abundance of Nitraria, Ephedra, and Cyperaceae. Artemisia/Chenopodiaceae (A/C) pollen ratios from two lakes show coherent large oscillations at centennial timescale during the last 1000 yr. A/C ratios were high around AD 1170, 1270, 1450, 1700 and 1920, suggesting that the vegetation was more ""steppe-like"" under a relatively moist climate than that during the intervening periods. Wet-dry climate shifts at the two lakes (2800 m asl) are in opposite phases to precipitation changes derived from tree-ring records in the Surrounding mountains (> 3700 m asl) and to pollen and snow accumulation records from Dunde ice core (5300 m asl), showing that a dry climate in the basin corresponds with a wet interval in the mountains, especially around AD 1600. This contrasting pattern implies that topography might have played an important role in mediating moisture changes at regional scale in this topographically complex region. (C) 2008 University of Washington. Published by Elsevier Inc. All rights reserved.",NA,,,,Courtney,No,,No,,Tibet,NA,,,,,,NA,,,,,Adrienne,No,Maybe,International,,
1193,"Haeuselmann, Philipp; Lauritzen, Stein-Erik; Jeannin, Pierre-Yves; Monbaron, Michel","Glacier advances during the last 400 ka as evidenced in St. Beatus Caves (BE, Switzerland)",QUATERNARY INTERNATIONAL,English,Article; Proceedings Paper,,SWISS ALPS; SPELEOTHEM; SEDIMENTS; COLUMBIA; EROSION; RELIEF,"While stalagmites within caves are commonly used to obtain information about past climate change, little attention has so far been given to the cave, its morphology, and many other types of deposits contained in it. The discontinuous nature of cave sediments and the possibility that caves are re-shaped by more recent water circulations has discouraged many researchers, despite the fact that it is just this intimate relationship between the cave and surface conditions that makes caves such valuable archives. This article presents a method of determining a relative chronology which can then be dated numerically. Information from St. Beatus Cave and other nearby caves provides evidence of glacial advances that occurred within the following time windows: >350, 235-180, 160-135, 114-99, 76-54, and 30-16 ka. It also describes the following dated periods of valley deepening: 805-760 m a.s.l. (> 350 ka), 760-700 m a.s.l. (235-180 ka), 700-660 m a.s.l. (160-135 ka), and 660-560 m a.s.l. (30-16 ka). These dates are new for this part of the Alpine Arc. (C) 2008 Elsevier Ltd and INQUA. All rights reserved.",2008,10.1016/j.quaint.2008.04.011,Physical Geography; Geology,WOS:000260265500013,Courtney,No,No,No,,caves in the Alps,Paris,No,Yes,No,,Switz,NA,,,,,Adrienne,No,Maybe,International,,
