title,include1,include2,source,include_final
Opportunities to utilize traditional phenological knowledge to support adaptive management of social-ecological systems vulnerable to changes in climate and fire regimes,Yes,Yes,wos,Yes
The influence of variation in host tree monoterpene composition on secondary attraction by an invasive bark beetle: Implications for range expansion and potential host shift by the mountain pine beetle,Yes,Yes,wos,Yes
Recruitment limitation of long-lived conifers: implications for climate change responses,Yes,Yes,wos,Yes
Disruption of the 'disease triangle' by chemical and physical environmental change,Yes,Maybe,wos,Yes
"Elevational Dependence of Air Temperature Variability and Trends in British Columbia's Cariboo Mountains, 1950-2010",Yes,No,wos,Yes
Spatial models reveal the microclimatic buffering capacity of old-growth forests,Yes,Yes,wos,Yes
Restoring fire-prone Inland Pacific landscapes: seven core principles,Yes,Yes,wos,Yes
Automated mapping of persistent ice and snow cover across the western US with Landsat,Yes,Yes,wos,Yes
"Stream Temperature Regimes and the Distribution of the Rocky Mountain Tailed Frog at its Northern Range Limit, Southeastern British Columbia",Yes,Yes,wos,Yes
Consequences of mountain pine beetle outbreak on forest ecosystem services in western Canada,Yes,No,wos,Yes
Gains and losses of plant species and phylogenetic diversity for a northern high-latitude region,Yes,No,wos,Yes
Historical spatial patterns and contemporary tree mortality in dry mixed-conifer forests,Yes,Yes,wos,Yes
Riparian Vegetation Communities of the American Pacific Northwest are Tied to Multi-Scale Environmental Filters,Yes,Yes,wos,Yes
"Precipitation-snowmelt timing and snowmelt augmentation of large peak flow events, western Cascades, Oregon",Yes,No,wos,Yes
Soil Respiration and Bacterial Structure and Function after 17 Years of a Reciprocal Soil Transplant Experiment,Yes,Yes,wos,Yes
Snow avalanches in western Canada: investigating change in occurrence rates and implications for risk assessment and mitigation,Yes,Yes,wos,Yes
How Does Availability of Meteorological Forcing Data Impact Physically Based Snowpack Simulations?,Yes,Yes,wos,Yes
Using spatiotemporal correlative niche models for evaluating the effects of climate change on mountain pine beetle,Yes,Yes,wos,Yes
Elevational shifts in thermal suitability for mountain pine beetle population growth in a changing climate,Yes,Yes,wos,Yes
"Analysis of long-term weather, snow and avalanche data at Glacier National Park, BC, Canada",Yes,Yes,wos,Yes
Recent Tree Mortality in the Western United States from Bark Beetles and Forest Fires,Yes,Yes,wos,Yes
