alternative.id,container.title,created,DOI,funder,publisher,reference.count,score,source,subject,title,subtitle,type,URL,author,issue,volume
,SSRN Electronic Journal ,2005-07-07,10.2139/ssrn.193661,NULL,Elsevier BV,0,100.39927,Crossref,,"Saving Snake River Water and Salmon Simultaneously: The Biological, Economic, and Legal Case For Breaching The Lower Snake River Dams, Lowering John Day Reservoir, and Restoring Natural River Flows",NA,journal-article,http://dx.doi.org/10.2139/ssrn.193661,Michael C. Blumm,NA,NA
,Restoration Ecology,2010-08-19,10.1111/j.1526-100x.2007.00304.x,NULL,Wiley-Blackwell,0,102.28939,Crossref,"Ecology,Ecology, Evolution, Behavior and Systematics,Nature and Landscape Conservation",Return to the River: Restoring Salmon to the Columbia River - Edited by Richard N. Williams,NA,journal-article,http://dx.doi.org/10.1111/j.1526-100x.2007.00304.x,Ray Hilborn,4,15
,Yearbook of the Association of Pacific Coast Geographers,2014-10-05,10.1353/pcg.1997.0010,NULL,Johns Hopkins University Press,0,103.10584,Crossref,,Shifting River Management Toward Salmon Restoration in the Columbia River Basin,NA,journal-article,http://dx.doi.org/10.1353/pcg.1997.0010,Jo Beth Mullens,1,59
,SSRN Electronic Journal,2014-02-12,10.2139/ssrn.2392887,NULL,Elsevier BV,0,28.347237,Crossref,,The Struggle Over the Columbia River Gorge: Establishing and Governing the First National Scenic Area,NA,journal-article,http://dx.doi.org/10.2139/ssrn.2392887,Michael C. Blumm,NA,NA
,The Geographical Journal,2006-07-29,10.2307/1787579,NULL,JSTOR,0,28.347237,Crossref,"Earth-Surface Processes,Geography, Planning and Development",Harnessing the Columbia River: The Grand Coulee Dam and Its Geographical Setting,NA,journal-article,http://dx.doi.org/10.2307/1787579,G. B. Barbour,4,96
,Geological Society of America Bulletin,2014-06-03,10.1130/gsab-39-1073,NULL,Geological Society of America,0,28.347237,Crossref,Earth and Planetary Sciences (miscellaneous),"High Gravels of Susquehanna River Above Columbia, Pennsylvania",NA,journal-article,http://dx.doi.org/10.1130/gsab-39-1073,G. W. STOSE,4,39
,Geology,2004-12-16,10.1130/0091-7613(1984)12<495:paccot>2.0.co;2,NULL,Geological Society of America,0,28.347237,Crossref,Geology,Physical and chemical constraints on the evolution of the Columbia River basalt,NA,journal-article,http://dx.doi.org/10.1130/0091-7613(1984)12<495:paccot>2.0.co;2,P. R. Hooper,8,12
S0034425705003482,Remote Sensing of Environment,2005-12-15,10.1016/j.rse.2005.10.018,NULL,Elsevier BV,0,28.347237,Crossref,"Computers in Earth Sciences,Soil Science,Geology",Satellite-measured temporal variability of the Columbia River plume,NA,journal-article,http://dx.doi.org/10.1016/j.rse.2005.10.018,A THOMAS; R WEATHERBEE,2,100
10.1175/1520-0493(1923)51<372a:AROCR>2.0.CO;2,Monthly Weather Review,2005-05-04,10.1175/1520-0493(1923)51<372a:arocr>2.0.co;2,NULL,American Meteorological Society,0,28.347237,Crossref,Atmospheric Science,ANNUAL RISE OF COLUMBIA RIVER,NA,journal-article,http://dx.doi.org/10.1175/1520-0493(1923)51<372a:arocr>2.0.co;2,NaN,7,51
,American Midland Naturalist,2006-04-24,10.2307/2421611,NULL,JSTOR,0,28.347237,Crossref,"Ecology, Evolution, Behavior and Systematics",Variation in the Deer-Mouse (Peromyscus maniculatus) Along the Lower Columbia River,NA,journal-article,http://dx.doi.org/10.2307/2421611,Wade Fox,2,40
BF00135021,Hydrobiologia,2004-11-06,10.1007/bf00135021,NULL,Springer Nature,0,28.347237,Crossref,"Aquatic Science,Pollution,Environmental Science(all)","Erratum to: Periphyton productivity and radionuclide accumulation in the Columbia River, Washington, U.S .A.",NA,journal-article,http://dx.doi.org/10.1007/bf00135021,C. E. Cushing,1,30
,Ethnohistory,2006-04-25,10.2307/480675,NULL,JSTOR,0,28.347237,Crossref,"History,Anthropology","The ""Intermittent Fever"" Epidemic of the 1830's on the Lower Columbia River",NA,journal-article,http://dx.doi.org/10.2307/480675,NaN,2,9
,American Midland Naturalist,2006-04-24,10.2307/2425744,NULL,JSTOR,0,28.347237,Crossref,"Ecology, Evolution, Behavior and Systematics",Life History and Ecology of the Largescale Sucker (Castostomus macrocheilus) in the Columbia River,NA,journal-article,http://dx.doi.org/10.2307/2425744,Dennis D. Dauble,2,116
,Copeia,2006-04-26,10.2307/1437470,NULL,JSTOR,0,28.347237,Crossref,"Animal Science and Zoology,Aquatic Science,Ecology, Evolution, Behavior and Systematics",Observations on the Migration of Salmonoid Fishes in the Upper Columbia River,NA,journal-article,http://dx.doi.org/10.2307/1437470,Wilbert McLeod Chapman,4,1941
