"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2BZQ6QV7","journalArticle","2005","Palmer, M.A.; Bernhardt, E.S.; Allan, J. D.; Lake, P.S.; Alexander, G.; Brooks, S.; Carr, J.; Clayton, S.; Dahm, C. N.; Follstad Shah, J.; Galat, D. L.; Loss, S. G.; Goodwin, P.; Hart, D.D.; Hassett, B.; Jenkinson, R.; Kondolf, G.M.; Lave, R.; Meyer, J.L.; O'Donnell, T.K.; Pagano, L.; Sudduth, E.","Standards for ecologically successful river restoration: Ecological success in river restoration","Journal of Applied Ecology","","00218901, 13652664","10.1111/j.1365-2664.2005.01004.x","http://doi.wiley.com/10.1111/j.1365-2664.2005.01004.x","","2005-03-14","2016-10-12 01:59:03","2016-10-12 01:59:03","2016-10-12 01:59:03","208-217","","2","42","","","Standards for ecologically successful river restoration","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GI6DCTK","journalArticle","2008","Brown, Gregory; others","Social–ecological hotspots mapping: a spatial approach for identifying coupled social–ecological space","Landscape and urban planning","","","","http://www.sciencedirect.com/science/article/pii/S0169204607002216","","2008","2016-06-08 19:50:55","2016-06-08 19:50:55","2016-06-08 19:50:55","27–39","","1","85","","","Social–ecological hotspots mapping","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\WE2622ZV\S0169204607002216.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HXHQPQ5","journalArticle","2013","Braden, John B.; Jolejole-Foreman, Maria Christina; Schneider, Daniel W.","Humans and the water environment: The need for coordinated data collection","Water","","","","http://www.mdpi.com/2073-4441/6/1/1/htm","","2013","2016-06-08 19:52:56","2016-06-08 19:52:56","2016-06-08 19:52:56","1–16","","1","6","","","Humans and the water environment","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\XEMN7IMD\htm.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KJ2W9QT","journalArticle","2010","Rasmussen, J B; Robinson, M D; Heath, D D","Ecological consequences of hybridization between native westslope cutthroat [Oncorhynchus clarkii lewisi] and introduced rainbow [Oncorhynchus mykiss] trout: effects on life history and habitat use","Canadian Journal of Fisheries and Aquatic Sciences","","0706652X","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=815247&site=ehost-live&scope=site","<p> In the Upper Oldman River, Alberta, Canada, hybridisation between introduced rainbow trout (RT; <i>Oncorhynchus mykiss</i>) and native westslope cutthroat trout (WCT; <i>Oncorhynchus clarkii lewisi</i>) has produced a genotypic gradient with rainbow trout alleles undetectable (<1%) at high elevations and increasing in abundance downstream. Few F<sub>1</sub> hybrids were found, and genotype frequencies suggest strong backcrossing of hybrids to pure parental populations at both ends of the gradient. The increasing prevalence of RT alleles downstream is accompanied by a life history gradient such that RT alleles were positively associated with growth rate and negatively associated with survivorship. Although physical barriers extended the distribution of pure WCT downstream, several streams held genetically pure WCT in their uppermost reaches, even when no barriers were present. For example, RT alleles were undetectable in headwaters of Dutch Creek, which had no barriers but was very cold (average summer temperature <7.3 °C). We propose that RT alleles affect the choice of habitat, as well the metabolic characteristics that determine their life history and competitive abilities. Factors such as climate change, clear-cut logging, and anthropogenic enrichment that can lead to increased temperature and (or) productivity might be expected to result in an upstream shift of RT alleles.</p>","2010-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","357-370","","2","67","","Canadian Journal of Fisheries and Aquatic Sciences","","","","","","","","Language: English; French.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","alleles; Anthropogenic Impacts; Biological Invasions / Invasive Species; Climatology / climate change; cutthoat trout; dutch creek; Ecology; fish; Genetics / Strains / Stock identification; genotypic variations; habitat use; hybridization; hybrids; life histories; life history; Physiology / Biology; rainbow trout; rivers / lakes; temperature; trout; upper oldman river","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KJMPHVB","journalArticle","1996","Syme, Geoffrey J.; Nancarrow, Blair E.","Planning attitudes, lay philosophies, and water allocation: A preliminary analysis and research agenda","Water Resources Research","","00431397","10.1029/96WR00465","http://doi.wiley.com/10.1029/96WR00465","","1996-06","2016-10-12 01:59:03","2016-10-12 01:59:03","2016-10-12 01:59:03","1843-1850","","6","32","","","Planning attitudes, lay philosophies, and water allocation","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RBGDVNW","journalArticle","2013","Goode, J R; Buffington, J M; Tonina, D; Isaak, D J; Thurow, R F; Wenger, S; Nagel, D; Luce, C; Tetzlaff, D; Soulsby, C","Potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins","Hydrological Processes","","08856087","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=941232&site=ehost-live&scope=site","Snowmelt-dominated basins in northern latitudes provide critical habitat for salmonids. As such, these systems may be especially vulnerable to climate change because of potential shifts in the frequency, magnitude, and timing of flows that can scour incubating embryos. A general framework is presented to examine this issue, using a series of physical models that link climate change, streamflow, and channel morphology to predict the magnitude and spatial distribution of streambed scour and consequent risk to salmonid embryos at basin scales. The approach is demonstrated for a mountain catchment in the Northern Rocky Mountains, USA. Results show that risk of critical scour varies as a function of species and life history and is modulated by local variations in lithology and channel confinement. Embryos of smaller-bodied fall spawners may be at greater risk because of shallow egg burial depths and increased rain-on-snow events during their incubation period. Scour risk for all species is reduced when changes in channel morphology (width, depth, and grain size) keep pace with climate-driven changes in streamflow. Although climate change is predicted to increase scour magnitude, the frequency of scouring events relative to typical salmonid life cycles is relatively low, indicating that individual year classes may be impacted by critical scour, but extirpation of entire populations is not expected. Furthermore, refugia are predicted to occur in unconfined portions of the stream network, where scouring shear stresses are limited to bankfull stage because overbank flows spread across alluvial floodplains; conversely, confined valleys will likely exacerbate climate-driven changes in flow and scour. Our approach can be used to prioritize management strategies according to relative risk to different species or spatial distributions of risk and can be used to predict temporal shifts in the spatial distribution of suitable spawning habitats. A critical unknown issue is whether biological adaptation can keep pace with rates of climate change and channel response","2013-01-01","2017-02-21 22:50:27","2017-02-21 22:50:27","","750-765","","5","27","","Hydrological Processes","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","channel morphology; Climatology / climate change; embryos; fish; Mathematical models / Equations; Montane environments; morphologic adjustment; mountain catchments; rain on snow; rivers / lakes; salmon; Snow / Ice; spawning habitats; streamflow; Watersheds / Catchments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32ZMW9TW","journalArticle","2002","Cummings, Jonathon N.; Sproull, Lee; Kiesler, Sara B.","Beyond hearing: Where the real-world and online support meet.","Group Dynamics: Theory, Research, and Practice","","1089-2699","10.1037//1089-2699.6.1.78","http://doi.apa.org/getdoi.cfm?doi=10.1037/1089-2699.6.1.78","","2002","2016-10-12 01:59:03","2016-10-12 01:59:03","2016-10-12 01:59:03","78-88","","1","6","","","Beyond hearing","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37MZI9JG","webpage","","","salmon / resilience / restoration - Google Drive","","","","","https://drive.google.com/drive/u/0/folders/0B7e2GfF-wQA_T1RWQlBsVjhoUUU","","","2016-09-26 20:42:54","2016-09-26 20:42:54","2016-09-26 20:42:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\ZQMQNRP9\0B7e2GfF-wQA_T1RWQlBsVjhoUUU.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39IBHUWN","journalArticle","2014","anonymous, A","Climate Change Accelerates Hybridization Between Native, Invasive Trout","The Fish Site","","","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=1127305&site=ehost-live&scope=site","A new article by researchers from the University of Montana, the US Geological Survey and Montana Fish, Wildlife & Parks asserts that climate warming is increasing the hybridization of trout – interbreeding between native and non-native species – in the interior western United States. Clint Muhlfeld, a research assistant professor in the UM Division of Biological Sciences’ Flathead Lake Biological Station and research ecologist with the USGS Northern Rocky Mountain Science Center in Glacier National Park, is the lead author of the article, titled “Invasive hybridization in a threatened species is accelerated by climate change,” which was published in the latest issue of Nature Climate Change. Co-authors are Ryan Kovach, a postdoctoral scholar at UM’s Flathead Lake Biological Station, and Leslie Jones, a UM doctoral student who works with Muhlfeld and USGS","2014-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","n/a","","May","2014","","The Fish Site","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","Biological Invasions / Invasive Species; climate warming; Climatology / climate change; Experimental research; fish; hybridization; interbreeding; introduced species; Reproduction / Reproductive aspects; spring flows; trout fish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A6RSBNC","journalArticle","2001","Lee, Kai N.","Appraising adaptive management","Biological diversity: Balancing interests through adaptive collaborative management","","","","https://books.google.com/books?hl=en&lr=&id=yPjLBQAAQBAJ&oi=fnd&pg=PA3&dq=pragmatism+adapive+management+value&ots=VllLEhFLDU&sig=6HR_oK508GXXs2XAgr0wpBl_mN0","","2001","2016-10-25 00:24:28","2016-10-25 00:24:28","2016-10-25 00:24:28","3–26","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\UIBZK39A\Lee - 2001 - Appraising adaptive management.pdf; C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\2XWDGM8K\books.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DDI22XD","journalArticle","2014","D. L. Ficklin; B. L. Barnhart; J. H. Knouft; I. T. Stewart; E. P. Maurer; S. L. Letsinger; G. W. Whittaker","Climate change and stream temperature projections in the Columbia River basin: habitat implications of spatial variation in hydrologic drivers","Hydrology and Earth System Sciences","","1027-5606","10.5194/hess-18-4897-2014","http://www.hydrol-earth-syst-sci.net/18/4897/2014/hess-18-4897-2014.pdf","Water temperature is a primary physical factor regulating the persistence and distribution of aquatic taxa. Considering projected increases in air temperature and changes in precipitation in the coming century, accurate assessment of suitable thermal habitats in freshwater systems is critical for predicting aquatic species' responses to changes in climate and for guiding adaptation strategies. We use a hydrologic model coupled with a stream temperature model and downscaled general circulation model outputs to explore the spatially and temporally varying changes in stream temperature for the late 21st century at the subbasin and ecological province scale for the Columbia River basin (CRB). On average, stream temperatures are projected to increase 3.5 °C for the spring, 5.2 °C for the summer, 2.7 °C for the fall, and 1.6 °C for the winter. While results indicate changes in stream temperature are correlated with changes in air temperature, our results also capture the important, and often ignored, influence of hydrological processes on changes in stream temperature. Decreases in future snowcover will result in increased thermal sensitivity within regions that were previously buffered by the cooling effect of flow originating as snowmelt. Other hydrological components, such as precipitation, surface runoff, lateral soil water flow, and groundwater inflow, are negatively correlated to increases in stream temperature depending on the ecological province and season. At the ecological province scale, the largest increase in annual stream temperature was within the Mountain Snake ecological province, which is characterized by migratory coldwater fish species. Stream temperature changes varied seasonally with the largest projected stream temperature increases occurring during the spring and summer for all ecological provinces. Our results indicate that stream temperatures are driven by local processes and ultimately require a physically explicit modeling approach to accurately characterize the habitat regulating the distribution and diversity of aquatic taxa.","2014","2016-09-28 22:53:24","2016-09-28 22:53:24","2016-09-28 22:53:24","4897–4912","","12","18","","","Climate change and stream temperature projections in the Columbia River basin","","","","","","","","","","","","search.lib.uidaho.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
