FID,dissolve,scalerank,featurecla,name,name_alt,rivernum,note
673,447River,7,River,A?na, ,447, 
978,67River,3,River,Abay, ,67, 
1215,85River,3,River,Abay (Blue Nile), ,85, 
1219,863River,8,River,Adige, ,863, 
1199,845River,8,River,Adycha, ,845, 
1436,2001River,10,River,Ahuriri, ,2001, 
35,1025River,9,River,Ajaj?, ,1025, 
679,452River,7,River,Akobo, ,452, 
1314,947River,8,River,Aksu, ,947, 
1022,69River,3,River,Al Furat, ,69, 
374,251River,6,River,Alabama, ,251, 
1082,744River,8,River,Alazeya, ,744, 
359,243River,6,River,Albany, ,243, 
1387,9River,1,River,Albert Nile, ,9, 
40,102River,4,River,Aldan, ,102, 
1163,812River,8,River,Alima, ,812, 
1159,80River,3,River,Allegheny, ,80, 
1393,178River,5,River,Allier, ,178000,Changed in 2.0
837,593River,7,River,Altamaha, ,593, 
750,514River,7,River,Amapari, ,514, 
456,2River,1,River,Amazonas, ,2, 
1197,843River,8,River,Amgun?, ,843, 
299,199River,5,River,Amu  Darya, ,199, 
1065,72River,3,River,Amur, ,72, 
878,627River,7,River,Anabar, ,627, 
475,316River,6,River,Anadyr?, ,316, 
1018,698River,8,River,Anderson, ,698, 
491,32River,2,River,Angara, ,32, 
442,28River,6,River,Angara, ,28, 
1127,783River,8,River,Aoukal?, ,783, 
1429,2002River,9,River,Aparima, ,2002, 
657,432River,7,River,Apure, ,432, 
17,100River,4,River,Araguaia, ,100, 
1275,911River,8,River,Aras, ,911, 
701,472River,7,River,Arctic Red, ,472, 
1204,84River,3,River,Argun? (Ergun), ,84, 
1390,79000River,6,River,Ari_Àge, ,79000,Changed in 2.0
32,1022River,9,River,Aripuan?, ,1022, 
205,131River,4,River,Arkansas, ,131, 
1285,920River,8,River,Arnaud, ,920, 
853,605River,7,River,Aruwimi, ,605, 
1324,956River,8,River,Asahan, ,956, 
1092,752River,8,River,Assiniboine, ,752, 
392,260River,6,River,Atbara, ,260, 
1045,712River,8,River,Atengo, ,712, 
269,173River,5,River,Athabasca, ,173, 
1158,809River,8,River,Atoyac, ,809, 
746,510River,7,River,Atrato, ,510, 
722,490River,7,River,Atrek (Atrak), ,490, 
546,377River,7,River,Atshan, ,377, 
1217,861River,8,River,Auob, ,861, 
950,667River,8,River,Awash, ,667, 
1420,2003River,9,River,Awatere, ,2003, 
212,138River,4,River,Ayeyarwady (Irrawaddy), ,138, 
191,119River,4,River,B?nou?, ,119, 
294,194River,5,River,B?o-B?o, ,194, 
119,1096River,9,River,Ba, ,1096, 
1103,762River,8,River,Babine, ,762, 
402,265River,6,River,Back, ,265, 
190,118River,4,River,Bafing, ,118, 
1353,981River,9,River,Bago?, ,981, 
1268,905River,8,River,Bahr Aouk, ,905, 
520,355River,6,River,Bahr el  Zeraf, ,355, 
226,14River,1,River,Bahr el Jebel  (Mountain Nile), ,14, 
261,16River,1,River,Bahr el Jebel  (White Nile), ,16, 
782,542River,7,River,Bajang, ,542, 
1297,931River,8,River,Bakoy, ,931, 
172,1138River,9,River,Balak, ,1138, 
785,545River,7,River,Baliem, ,545, 
588,399River,7,River,Balsas, ,399, 
333,226River,6,River,Bamingui, ,226, 
1247,889River,8,River,Banas, ,889, 
627,417River,7,River,Bandama, ,417, 
670,444River,7,River,Bandama Blanc, ,444, 
864,615River,7,River,Bani, ,615, 
1167,816River,8,River,Baoul?, ,816, 
731,499River,7,River,Baoul?, ,499, 
110,1088River,9,River,Baram, ,1088, 
319,216River,6,River,Barito, ,216, 
1182,82River,3,River,Barwon, ,82, 
1047,714River,8,River,Bavispe, ,714, 
1280,916River,8,River,Bayou Lafourche, ,916, 
1012,695River,8,River,Bear, ,695, 
960,671River,8,River,Beas, ,671, 
482,322River,6,River,Beaver, ,322, 
793,552River,7,River,Bei, ,552, 
71,1055River,9,River,Belaya, ,1055, 
606,407River,7,River,Bell, ,407, 
704,475River,7,River,Beni, ,475, 
211,137River,4,River,Benue, ,137, 
1213,858River,8,River,Bermejo, ,858, 
708,478River,7,River,Betsiboka, ,478, 
118,1095River,9,River,Betwa, ,1095, 
774,535River,7,River,Bhima, ,535, 
1278,914River,8,River,Bighorn, ,914, 
1201,847River,8,River,Bikin, ,847, 
394,261River,6,River,Biya, ,261, 
1115,772River,8,River,Black, ,772, 
1131,787River,8,River,Blackwood, ,787, 
92,1072River,9,River,Bogcang, ,1072, 
12,1006River,9,River,Bois, ,1006, 
168,1135River,9,River,Bojana (Buna), ,1135, 
797,556River,7,River,Bol?shaya Kuonamka, ,556, 
1126,782River,8,River,Bol?shoy Anyuy, ,782, 
1038,707River,8,River,Bol?shoy Yenisey, ,707, 
96,1076River,9,River,Bol?shoy Yugan, ,1076, 
671,445River,7,River,Bomu, ,445, 
768,52River,2,River,Borcea, ,52, 
229,152River,4,River,Braco Menor, ,152, 
848,600River,7,River,Brahmani, ,600, 
756,51River,2,River,Brahmaputra, ,51, 
439,288River,6,River,Branco, ,288, 
721,48River,2,River,Bratul Chillia, ,48, 
732,49River,2,River,Bratul Sfintu Gheorghe, ,49, 
745,50River,2,River,Bratul Sulina, ,50, 
509,345River,6,River,Brazos, ,345, 
1132,788River,8,River,Broad, ,788, 
1068,732River,8,River,Bug, ,732, 
723,491River,7,River,Buh, ,491, 
1407,2004River,6,River,Buller, ,2004, 
1060,726River,8,River,Bunga, ,726, 
1084,746River,8,River,Burdekin, ,746, 
126,1100River,9,River,Burnett, ,1100, 
1282,918River,8,River,Burnside, ,918, 
522,357River,6,River,Busira, ,357, 
1223,867River,8,River,Byk Menderes, ,867, 
323,21River,1,River,Bykovskaya Protoka, ,21, 
140,1112River,9,River,Bytantay, ,1112, 
1110,768River,8,River,Ca, ,768, 
1254,895River,8,River,Cagayan, ,895, 
799,558River,7,River,Caledon, ,558, 
1321,953River,8,River,Caledonian Canal, ,953, 
932,659River,8,River,Canadian, ,659, 
576,393River,7,River,Caniapiscau, ,393, 
824,580River,7,River,Cape Fear, ,580, 
283,184River,5,River,Caquet?, ,184, 
179,1144River,9,River,Carcara??, ,1144, 
625,416River,7,River,Caron?, ,416, 
1309,942River,8,River,Casiquiare, ,942, 
24,1016River,9,River,Cauca, ,1016, 
598,403River,7,River,Cauvery, ,403, 
1144,798River,8,River,Cedar, ,798, 
47,1036River,9,River,Cess, ,1036, 
72,1056River,9,River,Ceyhan, ,1056, 
600,404River,7,River,Chambal, ,404, 
1188,835River,8,River,Chambeshi, ,835, 
289,18River,1,River,Chang Jiang (Yangtze), ,18, 
889,636River,7,River,Chao Phraya, ,636, 
1200,846River,8,River,Chaor, ,846, 
142,1114River,9,River,Chara, ,1114, 
332,225River,6,River,Chari, ,225, 
372,250River,6,River,Chattahoochee, ,250, 
377,253River,6,River,Chattooga, ,253, 
474,315River,6,River,Chenab, ,315, 
986,683River,8,River,Cheyenne, ,683, 
1071,735River,8,River,Chi, ,735, 
1145,799River,8,River,Chico, ,799, 
681,454River,7,River,Chindwin, ,454, 
1166,815River,8,River,Chinko, ,815, 
1156,807River,8,River,Chirrip del Atlntico, ,807, 
883,630River,7,River,Chobe, ,630, 
436,285River,6,River,Chubut, ,285, 
555,382River,7,River,Chulym, ,382, 
508,344River,6,River,Chulyshman, ,344, 
1195,841River,8,River,Chuna, ,841, 
881,629River,7,River,Churchill, ,629, 
1031,703River,8,River,Chusovaya, ,703, 
1404,2005River,6,River,Clarence, ,2005, 
763,525River,7,River,Clark Fork, ,525, 
1400,2006River,6,River,Clutha, ,2006, 
1369,992River,9,River,Coari, ,992, 
994,687River,8,River,Coatzacoalcos, ,687, 
480,320River,6,River,Coco, ,320, 
26,1018River,9,River,Cojedes, ,1018, 
292,192River,5,River,Colorado, ,192, 
912,64River,3,River,Columbia, ,64, 
663,438River,7,River,Colville, ,438, 
574,392River,7,River,Conchos, ,392, 
988,684River,8,River,Congaree, ,684, 
687,45River,2,River,Congo, ,45, 
632,41River,2,River,Congo, ,41, 
761,524River,7,River,Connecticut, ,524, 
1090,750River,8,River,Contas, ,750, 
1033,704River,8,River,Cooper, ,704, 
1108,766River,8,River,Copiap?, ,766, 
350,236River,6,River,Copper, ,236, 
389,259River,6,River,Coppermine, ,259, 
823,579River,7,River,Corantijn, ,579, 
982,681River,8,River,Corumba, ,681, 
709,479River,7,River,Courantyne, ,479, 
1133,78900River,8,River,Cowpasture, ,78900, 
1281,917River,8,River,Cree, ,917, 
675,449River,7,River,Cuando, ,449, 
674,448River,7,River,Cuanza, ,448, 
325,221River,6,River,Cubango, ,221, 
536,36River,2,River,Cuiaba, ,36, 
730,498River,7,River,Cuilco, ,498, 
1348,979River,9,River,Cuito, ,979, 
276,177River,5,River,Culuene, ,177, 
1035,705River,8,River,Cumberland, ,705, 
565,388River,7,River,Cunene, ,388, 
748,512River,7,River,Cuyuni, ,512, 
1074,738River,8,River,Da (Black), ,738, 
467,309River,6,River,Dadu, ,309, 
337,228River,6,River,Dal?lven, ,228, 
1239,881River,8,River,Dali, ,881, 
1125,781River,8,River,Daling, ,781, 
505,341River,6,River,Daly, ,341, 
1241,883River,8,River,Dam, ,883, 
315,20River,1,River,Damietta Branch, ,20, 
1383,999River,9,River,Dan, ,999, 
390,25River,2,River,Danube, ,25, 
1226,86River,3,River,Darling, ,86, 
281,182River,5,River,Daugava (Zapadnaya Dvina), ,182, 
1137,791River,8,River,Delaware, ,791, 
1255,896River,8,River,Derwent, ,896, 
1101,760River,8,River,Des Moines, ,760, 
519,354River,6,River,Desaguadero, ,354, 
810,568River,7,River,Deseado, ,568, 
693,465River,7,River,Desna, ,465, 
1336,967River,8,River,Di?er Songhua, ,967, 
193,120River,4,River,Dicle, ,120, 
494,332River,6,River,Digul, ,332, 
710,47River,2,River,Dihang, ,47, 
1185,832River,8,River,Dja, ,832, 
194,121River,4,River,Dnepre, ,121, 
344,231River,6,River,Dniester, ,231, 
188,116River,4,River,Dnipro (Dnieper), ,116, 
751,515River,7,River,Doce, ,515, 
425,277River,6,River,Don, ,277, 
568,38River,2,River,Donau (Danube), ,38, 
691,463River,7,River,Donets, ,463, 
778,539River,7,River,Dong, ,539, 
1347,978River,9,River,Dongwe, ,978, 
840,596River,7,River,Donjek, ,596, 
898,643River,8,River,Dordogne, ,643, 
481,321River,6,River,Double Mountain Fork Brazos, ,321, 
1225,869River,8,River,Doubs, ,869, 
1391,303River,6,River,Drau, ,303,Changed in 2.0
461,303Thjrs,6,River,Drau, ,303,Version 1.2 edit in N. America and Europe
460,303Drau,7,River,Drau,Drava,303, 
166,1133River,9,River,Drin, ,1133, 
1229,872River,8,River,Drina, ,872, 
462,304River,6,River,Duero, ,304, 
1109,767River,8,River,Dulce, ,767, 
1258,899River,8,River,Dulgalakh, ,899, 
1176,824River,8,River,Duliu, ,824, 
81,1063River,9,River,Durance, ,1063, 
836,592River,7,River,Eastmain, ,592, 
1164,813River,8,River,Ebola, ,813, 
232,155River,5,River,Ebro, ,155, 
807,565River,7,River,Eel, ,565, 
1114,771River,8,River,Ekwan, ,771, 
278,17River,1,River,El Bahr el Abyad  (White Nile), ,17, 
1077,73River,3,River,El Bahr el Azraq  (Blue Nile), ,73, 
242,160River,5,River,Elbe, ,160, 
1057,722River,8,River,Ems, ,722, 
910,649River,8,River,English, ,649, 
1192,839River,8,River,Erdao, ,839, 
454,29River,2,River,Ertis, ,29, 
468,30River,2,River,Ertix (Irtysh), ,30, 
727,495River,7,River,Esil, ,495, 
1251,892River,8,River,Esla, ,892, 
755,519River,7,River,Essequibo, ,519, 
882,62River,3,River,Euphrates, ,62, 
668,442River,7,River,Evros (Maritsa), ,442, 
1288,923River,8,River,Exploits, ,923, 
914,650River,8,River,Feather, ,650, 
90,1070River,9,River,Fen, ,1070, 
518,353River,6,River,Ferenc Csatorna, ,353, 
1326,958River,8,River,Fimi, ,958, 
483,323River,6,River,Finlay, ,323, 
934,65River,3,River,Firat, ,65, 
1331,962River,8,River,Fitzroy, ,962, 
990,685River,8,River,Flathead, ,685, 
718,487River,7,River,Fly, ,487, 
1279,915River,8,River,Fox, ,915, 
1119,776River,8,River,Fraser, ,776, 
1286,921River,8,River,French, ,921, 
559,385River,7,River,Fuchun, ,385, 
