paper_id,title,agree
163,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,no
209,invasive pathogens at alpine treeline: consequences for treeline dynamics,no
282,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,no
285,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",no
288,"climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, oregon cascades, usa",no
289,"perspectives on climate change, mountain hydrology, and water resources in the oregon cascades, usa",no
290,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,no
292,"estimates of future flow, including extremes, of the columbia river headwaters",no
293,changes in spring snowpack for selected basins in the united states for different climate-change scenarios,no
294,"climate determines upper, but not lower, altitudinal range limits of pacific northwest conifers",no
295,"influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",no
296,modeling the effects of developmental variation on insect phenology,no
297,effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,no
298,on glacier retreat and drought cycles in the rocky mountains of montana and canada,no
299,optimized flood control in the columbia river basin for a global warming scenario,no
300,modeling tamarisk (tamarix spp.) habitat and climate change effects in the northwestern united states,no
311,"carbon implications of current and future effects of drought, fire and management on pacific northwest forests",no
313,sensitivity of soil water availability to changing snowmelt timing in the western us,no
319,"a spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in british columbia, canada",no
328,"glacier meltwater contributions and glaciometeorological regime of the illecillewaet river basin, british columbia, canada",no
335,continued warming could transform greater yellowstone fire regimes by mid-21st century,no
336,the unusual nature of recent snowpack declines in the north american cordillera,no
338,a process-based approach to estimate lodgepole pine (pinus contorta dougl.) distribution in the pacific northwest under climate change,no
339,observations and modeling of aboveground tree carbon stocks and fluxes following a bark beetle outbreak in the western united states,no
340,"groundwater level responses in temperate mountainous terrain: regime classification, and linkages to climate and streamflow",no
344,a new look at snowpack trends in the cascade mountains,no
345,"relationship between fire, climate oscillations, and drought in british columbia, canada, 1920-2000",no
346,spatial patterns of glaciers in response to spatial patterns in regional climate,no
349,a mechanistic assessment of nutrient flushing at the catchment scale,no
352,a method for estimating vulnerability of douglas-fir growth to climate change in the northwestern us,no
356,belowground carbon pools and processes in different age stands of douglas-fir,no
361,the economic impact of the mountain pine beetle infestation in british columbia: provincial estimates from a cge analysis,no
365,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,no
367,"adapting transportation to climate change on federal lands in washington state, usa",no
368,elevation-dependent responses of streamflow to climate warming,no
379,"impacts of dams on flow regimes in three headwater subbasins of the columbia river basin, united states",no
380,"factors influencing legacy pollutant accumulation in alpine osprey: biology, topography, or melting glaciers?",no
382,modeling lodgepole and jack pine vulnerability to mountain pine beetle expansion into the western canadian boreal forest,no
383,a grid-based approach for simulating stream temperature,no
384,survival and population size of a resident bird species are declining as temperature increases,no
385,climate change could alter the distribution of mountain pine beetle outbreaks in western canada,no
386,enhanced sediment delivery in a changing climate in semi-arid mountain basins: implications for water resource management and aquatic habitat in the northern rocky mountains,no
389,deep groundwater mediates streamflow response to climate warming in the oregon cascades,no
393,development of scale-free climate data for western canada for use in resource management,no
