paper_id,title,agree
209,invasive pathogens at alpine treeline: consequences for treeline dynamics,no
282,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,no
285,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",no
289,"perspectives on climate change, mountain hydrology, and water resources in the oregon cascades, usa",no
290,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,no
295,"influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",no
300,modeling tamarisk (tamarix spp.) habitat and climate change effects in the northwestern united states,no
304,mountain hydrology of the western united states,no
309,fire-induced erosion and millennialscale climate change in northern ponderosa pine forests,no
312,projected future vegetation changes for the northwest united states and southwest canada at a fine spatial resolution using a dynamic global vegetation model,no
315,"epiphytic macrolichen indication of air quality and climate in interior forested mountains of the pacific northwest, usa",no
324,population connectivity and genetic diversity of american marten (martes americana) in the united states northern rocky mountains in a climate change context,no
327,spatial and temporal change in the hydro-climatology of the canadian portion of the columbia river basin under multiple emissions scenarios,no
329,controls of summer stream temperature in the pacific northwest,no
334,twenty years after the 1988 yellowstone fires: lessons about disturbance and ecosystems,no
336,the unusual nature of recent snowpack declines in the north american cordillera,no
338,a process-based approach to estimate lodgepole pine (pinus contorta dougl.) distribution in the pacific northwest under climate change,no
339,observations and modeling of aboveground tree carbon stocks and fluxes following a bark beetle outbreak in the western united states,no
343,surface temperature lapse rates over complex terrain: lessons from the cascade mountains,no
344,a new look at snowpack trends in the cascade mountains,no
346,spatial patterns of glaciers in response to spatial patterns in regional climate,no
347,"distribution, rarity and habitats of three aquatic lichens on federal land in the us pacific northwest",no
353,columbia river flow and drought since 1750,no
356,belowground carbon pools and processes in different age stands of douglas-fir,no
362,applying resilience concepts in forest management: a retrospective simulation approach,no
363,rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,no
365,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,no
367,"adapting transportation to climate change on federal lands in washington state, usa",no
371,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,no
386,enhanced sediment delivery in a changing climate in semi-arid mountain basins: implications for water resource management and aquatic habitat in the northern rocky mountains,no
387,simulations show decreasing carbon stocks and potential for carbon emissions in rocky mountain forests over the next century,no
393,development of scale-free climate data for western canada for use in resource management,no
395,genetic consequences of forest population dynamics influenced by historic climatic variability in the western usa,no
399,snowmelt rate dictates streamflow,no
400,scientific knowledge and knowledge needs in climate adaptation policy,no
401,recent bark beetle outbreaks have little impact on streamflow in the western united states,no
404,climate change vulnerabilities and adaptation options for forest vegetation management in the northwestern usa,no
405,"complex challenges of maintaining whitebark pine in greater yellowstone under climate change: a call for innovative research, management, and policy approaches",no
407,"get real: climate change and all that ""it' entails",no
408,projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures,no
420,"the importance of seasonal temperature and moisture patterns on growth of douglas-fir in western oregon, usa",no
421,glacier variability in the conterminous united states during the twentieth century,no
422,changes in blister rust infection and mortality in whitebark pine over time,no
424,frog population viability under present and future climate conditions: a bayesian state-space approach,no
425,evaluating the sufficiency of protected lands for maintaining wildlife population connectivity in the u.s. northern rocky mountains,no
428,population fragmentation and inter-ecosystem movements of grizzly bears in western canada and the northern united states,no
436,downscaling hydroclimatic changes over the western us based on cam subgrid scheme and wrf regional climate simulations,no
441,decision support for evaluating landscape departure and prioritizing forest management activities in a changing environment,no
443,douglas-fir growth in mountain ecosystems: water limits tree growth from stand to region,no
445,empirical analyses of plant-climate relationships for the western united states,no
446,variation in the relationship between snowmelt runoff in oregon and enso and pdo,no
447,effects of climate change on range expansion by the mountain pine beetle in british columbia,no
450,impacts of increased atmospheric co2 on the hydroclimate of the western united states,no
457,detectability of change in winter precipitation within mountain landscapes: spatial patterns and uncertainty,no
473,tracking interannual streamflow variability with drought indices in the u.s. pacific northwest,no
476,modis terra collection 6 fractional snow cover validation in mountainous terrain during spring snowmelt using landsat tm and etm+,no
481,statistical comparisons of watershed-scale response to climate change in selected basins across the united states,no
484,summertime climate response to mountain pine beetle disturbance in british columbia,no
485,"genetic responses to climate in <i xmlns=""http://www.w3.org/1999/xhtml"">pinus contorta</i>: niche breadth, climate change, and reforestation.",no
486,interannual variations in snowpack in the crown of the continent ecosystem.,no
489,"assessing the past and future distribution and productivity of ponderosa pine in the pacific northwest using a process model, 3-pg.",no
492,a two-parameter climate elasticity of streamflow index to assess climate change effects on annual streamflow.,no
494,"diversity of vascular plant species in the montane boreal forest of western canada in response to climatic changes during the last 25 ka, fire, and land use.",no
495,regional analysis of the impacts of climate change on cheatgrass invasion shows potential risk and opportunity.,no
498,"modeling amphibian energetics, habitat suitability, and movements of western
toads, anaxyrus (=bufo) boreas, across present and future landscapes",no
503,shifts in western north american snowmelt runoff regimes for the recent warm decades.,no
504,climate influences the demography of three dominant sagebrush steppe plants.,no
506,"transition from sagebrush steppe to annual grass (<i xmlns=""http://www.w3.org/1999/xhtml"">bromus tectorum</i>): influence on belowground carbon and nitrogen.",no
508,modelling climate change impacts on spring runoff for the rocky mountains of montana and alberta ii: runoff change projections using future scenarios.,no
511,downscaling extremes - an intercomparison of multiple statistical methods for present climate.,no
512,height-growth response to climatic changes differs among populations of douglas-fir: a novel analysis of historic data.,no
513,"estimates of carbon stored in harvested wood products from the united states forest service northern region, 1906-2010.",no
516,spatial heterogeneity in ecologically important climate variables at coarse and fine scales in a high-snow mountain landscape.,no
523,interannual variation in biomass burning and fire seasonality derived from geostationary satellite data across the contiguous united states from 1995 to 2011.,no
524,patterns and variability of projected bioclimatic habitat for pinus albicaulis in the greater yellowstone area,no
525,amphibians in the climate vise: loss and restoration of resilience of montane wetland ecosystems in the western us.,no
532,climate trends but little net water supply shift in one of canada's most water-stressed regions over the last century.,no
533,climate change adaptation and restoration of western trout streams: opportunities and strategies.,no
534,using custom scientific workflow software and gis to inform protected area climate adaptation planning in the greater yellowstone ecosystem.,no
542,forest managers' response to climate change science: evaluating the constructs of boundary objects and organizations.,no
554,human-induced modifications to land surface fluxes and their implications on water management under past and future climate change conditions.,no
555,"annual and decadal climate forcing of historical fire regimes in the interior pacific northwest, usa",no
556,hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies,no
560,transient future climate over the western united states using a regional climate model,no
565,areal extent of seasonal snow cover in a changed climate.,no
567,potential climate change impacts on mountain watersheds in the pacific northwest.,no
574,trends in temperature and precipitation in the pacific northwest during the twentieth century.,no
575,"modelling conifer species distributions in mountain forests of washington state, usa.",no
586,has spring snowpack declined in the washington cascades?,no
588,"impact of climate change on north cascade alpine glaciers, and alpine runoff.",no
592,downscaling hydroclimatic changes over the western us based on cam subgrid scheme and wrf regional climate simulations.,no
593,"changes in patterns of streamflow from unregulated watersheds in idaho, western wyoming, and northern nevada.",no
595,decline of planted lodgepole pine in the southern interior of british columbia.,no
598,climatic variability regulates the occurrence and extent of large fires in the subalpine forests of the canadian rockies.,no
599,global weirding in british columbia: climate change and the habitat of terrestrial vertebrates.,no
603,"sensitivity of berry productivity to climatic variation in the cabinet-yaak grizzly bear recovery zone, northwest united states, 1989-2010.",no
607,climate change opportunities for idaho's irrigation supply and deliveries.,no
608,climate change and stream temperature projections in the columbia river basin: habitat implications of spatial variation in hydrologic drivers.,no
610,genetic diversity is related to climatic variation and vulnerability in threatened bull trout.,no
613,"floristic similarity, diversity and endemism as indicators of refugia characteristics and needs in the west.",no
615,"non-stationary temporal response of mountain hemlock growth to climatic variability in the north cascade range, washington, usa.",no
622,impacts of projected climate changes on streamflow and sediment transport for three snowmelt-dominated rivers in the interior pacific northwest.,no
626,long-term post-disturbance forest recovery in the greater yellowstone ecosystem analyzed using landsat time series stack.,no
629,influence of climate on radial growth and cone production in subalpine fir (abieslasiocarpa) and mountain hemlock (tsugamertensiana),no
634,mountain hemlock growth responds to climatic variability at annual and decadal time scales.,no
636,growth responses of subalpine fir to climatic variability in the pacific northwest.,no
639,trends in snow water equivalent in the pacific northwest and their climatic causes.,no
646,climate change implications for wind power resources in the northwest united states.,no
649,the relative impact of harvest and fire upon landscape-level dynamics of older forests: lessons from the northwest forest plan.,no
654,climate-streamflow linkages in the north-central rocky mountains: implications for a changing climate.,no
659,"relating climatic attributes and water resources allocation: a study using surface water supply and soil moisture indices in the snake river basin, idaho.",no
660,"climate change predicted to shift wolverine distributions, connectivity, and dispersal corridors.",no
664,"quantifying the contribution of glacier runoff to streamflow in the upper columbia river basin, canada.",no
667,the adaptation for conservation targets (act) framework: a tool for incorporating climate change into natural resource management.,no
669,"climate and glacier mass balance trends from ad 1780 to present in the columbia mountains, british columbia, canada.",no
670,coupling snowpack and groundwater dynamics to interpret historical streamflow trends in the western united states.,no
