reviewer,title,paper_id,inclusion_IAM,extent,location,biome,discipline,concerns,notes1,notes2,projected,observed,new_data,huc6,topic
DH,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,impacts,25000 - 40000 km2,"48.7596128,-113.7870225","alpine tundra, forest: temperate",meteorology and climatology,Really close to getting disqualified as paleo.... I would almost nix it but decided to code in none the less to keep the peace,NA,NA,no,no,yes,0102,"temperature, precipitation, snow, salmon/anadromous fish, aquatic habitat, forest ecology, dendrochronology, agriculture, management, water quantity"
AM,Spatial variation of snowmelt and sublimation in a high-elevation semi-desert basin of western Canada,100,impacts,100 - 1500 km2,"50.2198941,-119.7724407",forest: temperate,hydrology,NA,NA,NA,no,no,yes,okanagan,"temperature, precipitation, snow, water quantity, snow"
AM,"Connecting phenological predictions with population growth rates for mountain pine beetle, an outbreak insect",101,impacts,1500 - 2500 km2,"44.083431,-114.9119987",forest: temperate,"biology/ecology, forestry",NA,NA,NA,no,no,yes,0602,"temperature, pests and disease, forest ecology"
PE,"ESTIMATING LAND COVER-INDUCED INCREASES IN DAYTIME SUMMER TEMPERATURES NEAR MT. ADAMS, WASHINGTON",102,impacts,100 - 1500 km2,"46.2023677,-121.4998255",forest: temperate,"meteorology and climatology, forestry",NA,NA,NA,no,no,yes,"0300, 0701, 0800","temperature, snow, glaciers, timber production/silviculture, forest ecology, soils"
AM,Influence of bioclimatic variables on tree-line conifer distribution in the Greater Yellowstone Ecosystem: implications for species of conservation concern,103,impacts,40000 km2 - PNW,"44.5844248,-111.0744994",forest: temperate,biology/ecology,NA,NA,NA,yes,no,no,"0401, 0402","pests and disease, species range shifts, forest ecology, management, temperature, precipitation"
DH,"Assessing community vulnerability: A study of the mountain pine beetle outbreak in British Columbia, Canada",104,adaptation,40000 km2 - PNW,"51.5732077,-121.849399; 50.4995918,-116.0681115",forest: temperate,"anthropology/sociology, policy or management",NA,NA,NA,NA,NA,yes,"kooteney, columbia","temperature, timber production/silviculture, forest ecology, agriculture, community resilience, attitudes and beliefs, policy, management, pests and disease"
MF,"Conifer cover increase in the greater yellowstone ecosystem: Frequency, rates, and spatial variation",105,impacts,40000 km2 - PNW,"44.4279828,-110.597209",forest: temperate,"biology/ecology, forestry",NA,NA,NA,no,no,no,0402,"temperature, species range shifts, timber production/silviculture, forest ecology, soils"
CMC,"Inbreeding and conservation genetics in whitebark pine
",106,adaptation,western us,"Western United States, British Columbia",forest: temperate,forestry,NA,NA,NA,no,yes,yes,"kooteney, columbia, okanagan","temperature, precipitation, timber production/silviculture, forest ecology, management"
AM,Linking observed and general circulation model upper air circulation patterns to current and future snow runoff for the Rocky Mountains,107,impacts,western us,Western United States,alpine/tundra,"meteorology and climatology, hydrology","Really continental North America more than western US; they analyze connections to streamflow, but not in the CRB.",NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
PE,Pacific northwest climate sensitivity simulated by a regional climate model driven by a GCM. Part II: 2xCO(2) simulations,108,impacts,western us,"Washington, Oregon, Idaho, Montana",n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, carbon cycle"
AM,Phenology-mediated effects of climatic change on some simulated British Columbia forests,109,impacts,pacific northwest,British Columbia,forest: temperate,forestry,Data is unclear.,NA,NA,yes,no,no,"kooteney, columbia, okanagan","temperature, precipitation, species range shifts, forest ecology"
MF,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,impacts,100 - 1500 km2,NA,forest: temperate,hydrology,NA,NA,NA,yes,no,yes,okanagan,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, aquatic habitat, management, groundwater"
AM,Projected changes in snowfall extremes and interannual variability of snowfall in the western United States,113,impacts,western us,Western United States,"alpine/tundra, forest: temperate",meteorology and climatology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow"
PE,"Epiphytic lichen indication of nitrogen deposition and climate in the northern rocky mountains, USA",114,impacts,40000 km2 - PNW,"46.8798202,-113.9627224",forest: temperate,biology/ecology,NA,NA,NA,no,no,yes,"0102, 0401, 0402","temperature, precipitation, snow, forest ecology, management"
AM,Recent tree mortality and recruitment in mature and old-growth forests in western Washington,115,impacts,40000 km2 - PNW,"46.1298458,-123.8925035; 46.8602347,-121.9950948; 45.4719841,-125.5315344",forest: temperate,forestry,NA,NA,NA,no,no,yes,"0200, 0300","temperature, precipitation, species range shifts, timber production/silviculture, forest ecology"
DH,Projections of Contemporary and Future Climate Niche for Wyoming Big Sagebrush (Artemisia tridentata subsp wyomingensis): A Guide for Restoration,116,impacts,western us,NA,"grassland: temperate, desert: semi-arid desert",biology/ecology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, snow, terrestrial wildlife, species range shifts, soils, management, wildfire, forest ecology, management"
AM,Patterns of regional hydroclimatic shifts: An analysis of changing hydrologic regimes,117,impacts,western us,Western United States,"alpine tundra, grassland: temperate, forest: temperate, freshwater: streams and rivers",hydrology,"Really continental U.S., but I selected western U.S. Not sure if this was right - or whether it should be in our corpus? They do have a focused component on Pacific Northwest.",NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, streamflow/stream forecasting, water quantity"
DH,Dietary plasticity in pikas as a strategy for atypical resource landscapes,118,impacts,100 - 1500 km2,"45.689764,-121.9113627","alpine/tundra, forest: temperate, grassland: temperate",biology/ecology,NA,NA,NA,no,no,yes,0701,"temperature, precipitation, snow, water quality, water quantity, terrestrial wildlife, species range shifts, management"
CMC,Modulation of linear and nonlinear hydroclimatic dynamics by mountain glaciers in Canada and Norway: Results from information-theoretic polynomial selection,120,impacts,pacific northwest,"British Columbia, 50.986700, -118.180661; 49.757254, -116.467111 (Table 1)",alpine/tundra,meteorology and climatology,NA,"It was therefore assessed in this study how the presence or absence of watershed glacial cover affects streamﬂow responses to both low- and high-frequency climatic variations, with a particular emphasis on the consideration of nonlinear effects. An information theory-based approach was adapted to this purpose and applied to seasonally high-resolution data from paired catchments in the southern Canadian Rocky Mountains and arctic coastal Norway.",NA,no,yes,no,"kooteney, columbia","temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quantity"
MF,The Missing Mountain Water: Slower Westerlies Decrease Orographic Enhancement in the Pacific Northwest USA,121,impacts,pacific northwest,NA,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,"We demonstrate that observed streamflow declines are probably associated with declines in mountain precipitation, revealing",no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
