reviewer,title,paper_id,inclusion_IAM,extent,location,biome,concerns,notes1,notes2,projected,observed,new_data,huc6,discipline,topic
AM,Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,2,impacts,40000 km2 - PNW,British Columbia,forest: temperate,NA,NA,NA,no,yes,yes,"0101, kooteney, columbia",forestry,"temperature, pests and disease, forest ecology, dendrochronology"
MF,Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,2,impacts,40000 km2 - PNW,NA,forest: temperate,NA,NA,NA,no,yes,yes,"0101, kooteney, columbia",forestry,"temperature, pests and disease, forest ecology, dendrochronology"
AM,Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,impacts,1 - 100 km2,"44.2243516,-122.1995577; 44.1542012,-122.8601981",alpine/tundra,NA,NA,NA,yes,no,no,0900,hydrology,"temperature, snow, streamflow/stream forecasting, groundwater"
SH,Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,impacts,1 - 100 km2,"44.2243516,-122.1995577; 44.1542012,-122.8601981",alpine/tundra,NA,NA,NA,yes,no,no,0900,hydrology,"temperature, snow, streamflow/stream forecasting, groundwater"
AM,Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,impacts,40000 km2 - PNW,"51.0770982,-118.2554909","alpine/tundra, forest: temperate",NA,NA,NA,no,no,yes,"0102, kooteney",biology,"species range shifts, forest ecology, pests and disease"
PE,Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,impacts,40000 km2 - PNW,"51.0770982,-118.2554909","alpine/tundra, forest: temperate",NA,NA,NA,no,no,yes,"0102, kooteney",biology,"species range shifts, forest ecology, pests and disease"
AM,Climate indices and mountain pine beetle-killing temperatures,8,impacts,pacific northwest,British Columbia,forest: temperate,NA,NA,NA,no,no,no,"columbia, okanagan",meteorology and climatology,"temperature, precipitation, snow, species invasion, pests and disease, species range shifts, timber production/silviculture, forest ecology"
DH,Climate indices and mountain pine beetle-killing temperatures,8,impacts,pacific northwest,"British Columbia, 51.2990275,-116.9850559",forest: temperate,NA,NA,NA,no,no,no,"columbia, okanagan",meteorology and climatology,"temperature, precipitation, snow, species invasion, pests and disease, species range shifts, timber production/silviculture, forest ecology"
AM,"Climate extreme and its linkage to regional drought over Idaho, USA.",9,impacts,40000 km2 - PNW,Idaho,"alpine tundra, grassland: temperate, forest: temperate",NA,NA,"""The result indicates that decreasing trends and increasing trends are identified for precipitation and temperature, respectively""",no,yes,no,"0101, 0102, 0103, 0402, 0501, 0502, 0601, 0602, 0603",meteorology and climatology,"temperature, precipitation, drought"
CMC,"Climate extreme and its linkage to regional drought over Idaho, USA
",9,impacts,40000 km2 - PNW,Idaho,"alpine tundra, grassland: temperate, forest: temperate",A really nice one for Idaho specific climate questions.,NA,NA,no,yes,no,"0101, 0102, 0103, 0402, 0501, 0502, 0601, 0602, 0603",meteorology and climatology,"temperature, precipitation, drought"
DH,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,impacts,25000 - 40000 km2,"48.3833368,-113.6188487","alpine tundra, forest: temperate",Really close to getting disqualified as paleo.... I would almost nix it but decided to code in none the less to keep the peace,NA,NA,no,no,yes,0102,meteorology and climatology,"temperature, precipitation, snow, salmon/anadromous fish, aquatic habitat, forest ecology, dendrochronology, agriculture, management, water quantity"
MF,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,impacts,25000 - 40000 km2,"48.3833368,-113.6188487","alpine tundra, forest: temperate",NA,NA,NA,no,no,yes,0102,meteorology and climatology,"temperature, precipitation, snow, salmon/anadromous fish, aquatic habitat, forest ecology, dendrochronology, agriculture, management, water quantity"
MF,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,impacts,100 - 1500 km2,NA,forest: temperate,NA,NA,NA,yes,no,yes,okanagan,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, aquatic habitat, management, groundwater"
PE,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,impacts,100 - 1500 km2,"49.8212294,-120.894469",forest: temperate,NA,NA,NA,yes,no,yes,okanagan,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, aquatic habitat, management, groundwater"
CMC,Coupled daily streamﬂow and water temperature modelling in large river basins,14,impacts,40000 km2 - PNW,NA,n/a (not biome specific or all biomes - see codebook),big global modeling effort. Interesting for comparing the CRB to other areas around the world.,NA,NA,no,no,NA,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"streamflow/stream forecasting, water quality, aquatic habitat"
MF,Coupled daily streamflow and water temperature modelling in large river basins,14,impacts,40000 km2 - PNW,Columbia River Basin,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"streamflow/stream forecasting, water quality, aquatic habitat"
AM,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,impacts,1 - 100 km2,"50.2354869,-119.4802421",forest: temperate,NA,NA,NA,no,no,no,okanagan,meteorology and climatology,"temperature, precipitation, groundwater, water quantity, soils, streamflow/stream forecasting"
SH,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,impacts,1 - 100 km2,"50.2354869,-119.4802421",forest: temperate,NA,NA,NA,no,no,no,okanagan,meteorology and climatology,"temperature, precipitation, groundwater, water quantity, soils, streamflow/stream forecasting"
AM,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,impacts,western us,Western United States,alpine tundra,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"temperature, precipitation, glaciers, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, natural disasters"
CMC,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,impacts,western us,"Western United States, British Columbia, Really it includes glaciers/ glaciated areas across the USA including Alaska",alpine/tundra,Extent is really large,"In southern BC and the US PNW, there is a tendency
for enhanced winter accumulation when the PNA is in a
negative phase or when ENSO or PDO are in the cold
phases, while reduced accumulation is associated with the
enhanced phase of PNA and the ENSO and PDO warm","The dominance
of negative mass balance conditions and volume loss over
the last few decades indicates that glaciers throughout
western North America are out of equilibrium with the
current climate and, barring a shift to cooler and/or wetter
conditions, will likely continue to retreat over at least
the next decade or so. --Hock et al. (2005) outlined the processes by which
mountain glacier discharge responds to climate warming
and a shift from near-neutral to negative mass balance.
They distinguished between a short-term response to
changes in climate and the extents of snow and firn, and a
long-term response, which includes the change in glacier
area within the catchment.",no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"temperature, precipitation, glaciers, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, natural disasters"
AM,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,impacts,pacific northwest,Columbia River Basin,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity"
MF,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,impacts,pacific northwest,Columbia River Basin,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity"
