Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it most address climate change impacts, adaptation, or mitigation? If the answer is ""None of these"", leave the rest of the answers blank.","If this paper addresses impacts then select the type of impact. If not, skip the question.","What is the spatial resolution of data in this paper? (i.e., minimum unit of observation)",What is the spatial extent of data in this paper? ,"Where was the study conducted? Please copy-paste coordinates of your best approximation of the study location in google maps. If you click something besides ""other"", then no need to fill out HUCs.",In what biome(s) is this research conducted? ,"If the paper has a smaller spatial extent than the Pacific Northwest, what HUC 6 watersheds was the study in? (Select watershed if in Canada; leave out the starting ""17"").",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address? ,List concerns or uncertainty when coding this paper. ,Copy and paste or summarize content related to our research questions. ,Copy and paste or summarize content related to research in mountainous environments. 
11/30/2017 15:02:52,AM,Global greenhouse to icehouse and back again: The origin and future of the Boreal Forest biome,1,None of these or not in the CRB,,,,,,,,,,"Boreal forest - basically not in CRB, though it might *technically* extend in by a little bit?",,
1/16/2018 12:20:20,DH,Global greenhouse to icehouse and back again: The origin and future of the Boreal Forest biome,1,None of these or not in the CRB,,,,,,,,,,Hard to tell but I don't believe this is relevant to our study. ,,
1/10/2018 8:44:08,AM,Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,2,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",British Columbia,Forest: temperate,,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Pests and disease, Forest Ecology, Dendrochronology",,,
1/3/2018 12:22:33,MF,Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,2,Impacts,Observed impacts,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",,"Alpine tundra, Forest: temperate","0101 - Kootenai, Kooteney (Canada), Columbia (Canada)","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Geography,"Temperature, Dendrochronology",,,
11/30/2017 15:12:06,AM,"A 2000-YEAR ENVIRONMENTAL HISTORY OF JACKSON HOLE, WYOMING, INFERRED FROM LAKE-SEDIMENT RECORDS",3,Impacts,Observed impacts,Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"43.7543165,-110.7320007","Forest: temperate, Desert: semi-arid desert, Freshwater: ponds and lakes",0401 - Snake headwaters,Point data collected specifically for this study,Ecology,"Glaciers, Lacustrine Systems, Range Shifts, Wildfire, Forest Ecology, Paleoecology; Environmental history","The tie to modern climate change is somewhat tenuous, and I'm not sure our topics capture this paper very well.",,
2/4/2018 17:32:37,CMC,"A 2000-year environmental history of Jackson Hole, Wyoming, inferred from lakesediment records
",3,None of these or not in the CRB,,,,,,,,,,Jackson hole is not in the CRB plus this is pretty paleo,,
11/30/2017 15:22:59,AM,Structure and Detectability of Trends in Hydrological Measures over the Western United States,4,Impacts,Observed impacts,100 km2 - 500 km2 (HUC 12 is 100 km2),Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: streams and rivers",,Gridded,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting",,,"""Using key hydrologic measures—including JFM temperature, fraction of days with snow, SWE/Precip(ONDJFM), and JFM runoff fractions—we find that the observed winter temperature and each of the hydrologic measures have undergone significant trends over considerable parts (37%–89%) of the snow-dominated western United States (Fig. 6). These trends are not likely to have resulted from natural variability alone..."""
1/7/2018 15:29:43,MF,Structure and Detectability of Trends in Hydrological Measures over the Western United States,4,Impacts,Observed impacts,"Point or plot scale, 1-900 m2 (1-30m; Landsat size or smaller), Downscales point data",Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: streams and rivers",,"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity",,,
1/4/2018 11:53:47,AM,Genetic differences in the elevational limits of native and introduced Lactuca serriola populations,5,None of these or not in the CRB,,,,,,,,,,"The only way this paper is about the CRB is that they took seeds from the Wallowas and planted them in Switzerland. The climate change connection is also pretty tenuous: it's about elevation limits for this species, but the discussion doesn't really address climate change at all (it's very briefly mentioned in the introduction).",,
2/4/2018 17:39:37,CMC,"Genetic differences in the elevational limits of native and introduced Lactuca serriola populations
",5,Impacts,Observed impacts,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","45.201264, -117.323775",Forest: temperate,0501 - Middle Snake - Boise,Point data collected specifically for this study,Biology,"Pests and disease, Range Shifts",Sort of a tough one. A lot of the research takes place in switzerland but there is actually field data in the Wallowas. The author also uses the term adaptation to describe the altitudinal shift of a plant species which seems sort of unusual. ,,
