title,abstract
"long-duration drought variability and impacts on ecosystem services: a case study from glacier national park, montana","Instrumental climate records suggest that summer precipitation and winter snowpack in Glacier National Park ( Glacier NP), Montana, vary significantly over decadal to multidecadal time scales. Because instrumental records for the region are limited to the twentieth century, knowledge of the range of variability associated with these moisture anomalies and their impacts on ecosystems and physical processes are limited. The authors developed a reconstruction of summer ( June - August) moisture variability spanning A. D. 1540 - 2000 from a multispecies network of tree-ring chronologies in Glacier NP. Decadal-scale drought and pluvial regimes were defined as any event lasting 10 yr or greater, and the significance of each potential regime was assessed using intervention analysis. Intervention analysis prevents single intervening years of average or opposing moisture conditions from ending what was otherwise a sustained moisture regime. The reconstruction shows numerous decadal-scale shifts between persistent drought and wet events prior to the instrumental period ( before A. D. 1900). Notable wet events include a series of three long-duration, high-magnitude pluvial regimes spanning the end of the Little Ice Age ( A. D. 1770 - 1840). Though the late-nineteenth century was marked by a series of > 10 yr droughts, the single most severe dry event occurred in the early-twentieth century ( A. D. 1917 - 41). These decadal-scale dry and wet events, in conjunction with periods of high and low snowpack, have served as a driver of ecosystem processes such as forest fires and glacial dynamics in the Glacier NP region. Using a suite of paleoproxy reconstructions and information from previous studies examining the relationship between climate variability and natural processes, the authors explore how such persistent moisture anomalies affect the delivery of vital goods and services provided by Glacier NP and surrounding areas. These analyses show that regional water resources and tourism are particularly vulnerable to persistent moisture anomalies in the Glacier NP area. Many of these same decadal-scale wet and dry events were also seen among a wider network of hydroclimatic reconstructions along a north - south transect of the Rocky Mountains. Such natural climate variability can, in turn, have enormous impacts on the sustainable provision of natural resources over wide areas. Overall, these results highlight the susceptibility of goods and services provided by protected areas like Glacier NP to natural climate variability, and show that this susceptibility will likely be compounded by the effects of future human-induced climate change."
spatial variation of snowmelt and sublimation in a high-elevation semi-desert basin of western canada,"The Okanagan Basin, a semi-desert region of western Canada, is currently experiencing rapidly increasing pressure on its water resources from development and population increases, exacerbated by changes in mate. The major source of freshwater in the region originates from the melt of high-elevation snowpacks, about which little is currently known, including the proportion of the peak snowpack lost to sublimation. To better understand the hydrologic regime of this snow resource, a detailed field program was conducted during the 2007 snowmelt season. Specifically, peak annual snow distribution, ablation-season Surface-energy exchange and mass balance were measured in a forested high-elevation catchment of the Okanagan Basin. During the snowmelt period, 1-4% of the peak annual snow-water equivalent (SWE) was lost to sublimation in open sites-averaging 0.4 min d(-1). Melt and sublimation rates increased significantly with elevation, and were observed to be higher and more variable in the open sites than under forest canopies. The largest sublimation events (>0.25 mm d(-1)) were associated with low atmospheric vapour pressure, temperatures below 0 degrees C, and higher than average wind speeds. Condensation occurred under highly stable conditions in the boundary layer when sensible heat fluxes exceeded net radiative inputs to the snow surface. Melt rates were driven almost entirely by sensible heat fluxes and exceeded 30 mm d(-1) during large-scale advection events. The results from this Study will allow water managers to better predict the amount of water available for ecological, agricultural and municipal needs. This work also provides the basis for assessing changes in snow surface energetics due to ongoing salvage cutting in forested areas affected by the current mountain pine-beetle outbreak. Copyright (C) 2009 John Wiley & Sons, Ltd and Her Majesty the Queen in right of Canada."
"connecting phenological predictions with population growth rates for mountain pine beetle, an outbreak insect","It is expected that a significant impact of global warming will be disruption of phenology as environmental cues become disassociated from their selective impacts. However there are few, if any, models directly connecting phenology with population growth rates. In this paper we discuss connecting a distributional model describing mountain pine beetle phenology with a model of population success measured using annual growth rates derived from aerially detected counts of infested trees. This model bridges the gap between phenology predictions and population viability/growth rates for mountain pine beetle. The model is parameterized and compared with 8 years of data from a recent outbreak in central Idaho, and is driven using measured tree phloem temperatures from north and south bole aspects and cumulative forest area impacted. A model driven by observed south-side phloem temperatures and that includes a correction for forest area previously infested and killed is most predictive and generates realistic parameter values of mountain pine beetle fecundity and population growth. Given that observed phloem temperatures are not always available, we explore a variety of methods for using daily maximum and minimum ambient temperatures in model predictions."
"estimating land cover-induced increases in daytime summer temperatures near mt adams, washington","A wealth of 20(th)-century instrumental data indicates that daytime near-surface temperatures differ greatly between clear-cut and mature forest stands, decreasing approximately linearly with stand height and density. Although these temperatures are easily observed in individual stands, extrapolating the net temperature effect to an actively logged terrain is difficult due to the heterogeneous mixture of different forest stand heights and densities. Previous work has related the percentage of tree shade observed in remotely sensed imagery to forest stand structure; we further developed this proxy to derive an estimate of the near-surface daytime air temperature during the summer months. This temperature proxy can be integrated across a region using both actual shade from the modern landscape and an idealized data set representing old-growth forest. In our 10 x 20 km study area on Mt. Adams, Washington, the temperature difference between these two data sets implies that as much as 0.6 degrees C of recent near-surface air temperature rise may be attributed to land cover change. Our results demonstrate that differences in regional temperatures caused by industrial-scale logging are large enough to play a significant role in other physical system responses, such as the retreat of alpine glaciers near logged forests. Because industrial-scale logging is globally pervasive and operates in the same timescale and direction as global warming trends, forcings due to land cover change may have been heretofore overlooked as a cause of the retreat of some glacier systems."
influence of bioclimatic variables on tree-line conifer distribution in the greater yellowstone ecosystem: implications for species of conservation concern,"Aim Tree-line conifers are believed to be limited by temperature worldwide, and thus may serve as important indicators of climate change. The purpose of this study was to examine the potential shifts in spatial distribution of three tree-line conifer species in the Greater Yellowstone Ecosystem under three future climate-change scenarios and to assess their potential sensitivity to changes in both temperature and precipitation. Location This study was performed using data from 275 sites within the boundaries of Yellowstone and Grand Teton national parks, primarily located in Wyoming, USA. Methods We used data on tree-line conifer presence from the US Forest Service Forest Inventory and Analysis Program. Climatic and edaphic variables were derived from spatially interpolated maps and approximated for each of the sites. We used the random-forest prediction method to build a model of predicted current and future distributions of each of the species under various climate-change scenarios. Results We had good success in predicting the distribution of tree-line conifer species currently and under future climate scenarios. Temperature and temperature-related variables appeared to be most influential in the distribution of whitebark pine (Pinus albicaulis), whereas precipitation and soil variables dominated the models for subalpine fir (Abies lasiocarpa) and Engelmann spruce (Picea engelmannii). The model for whitebark pine substantially overpredicted absences (as compared with the other models), which is probably a result of the importance of biological factors in the distribution of this species. Main conclusions These models demonstrate the complex response of conifer distributions to changing climate scenarios. Whitebark pine is considered a 'keystone' species in the subalpine forests of western North America; however, it is believed to be nearly extinct throughout a substantial portion of its range owing to the combined effects of an introduced pathogen, outbreaks of the native mountain pine beetle (Dendroctonus ponderosae), and changing fire regimes. Given predicted changes in climate, it is reasonable to predict an overall decrease in pine-dominated subalpine forests in the Greater Yellowstone Ecosystem. In order to manage these forests effectively with respect to future climate, it may be important to focus attention on monitoring dry mid- and high-elevation forests as harbingers of long-term change."
"assessing community vulnerability: a study of the mountain pine beetle outbreak in british columbia, canada","Arguing that community-based assessments of vulnerability to climate change are congruent with the scale at which policy action takes place, this paper presents an assessment of vulnerability conducted in forest-based communities surrounded by a catastrophic outbreak of forest disease. Our assessment includes measures of several dimensions of vulnerability, developed using an interdisciplinary and participatory research process. We find that for some communities vulnerability represents a high level of economic risk, while for others risk is exacerbated by institutional limitations. We also find that community perceptions of risk and bio-physical assessments differ widely for communities anticipating future outbreaks of disease. (C) 2007 Elsevier Ltd. All rights reserved."
"conifer cover increase in the greater yellowstone ecosystem: frequency, rates, and spatial variation","Extensive fires in recent decades in the Greater Yellowstone Ecosystem (GYE) garnered much attention for causing a significant decrease in the extent of conifer forest cover. Meanwhile, conifer forests in unburned parts of the GYE have continued to increase in extent and density. Conifer cover increase has been well documented by repeat historical photography, but the average rate of increase and the spatial variation remain unquantified. We examined changes in conifer cover across biophysical gradients in the GYE based on stratified random samples from aerial photographs. The percent conifer cover for samples in 1971 and 1999 was quantified to determine the frequency and rate of conifer cover change. A slight majority of samples (56%) showed no change, whereas increases (22%) were balanced by decreases (22%). However, among samples that were not recently burned or logged, or already closed-canopy, nearly 40% increased in conifer cover, at an average annual rate of 0.22%. We quantified significant variability in the frequency and rate of conifer cover increase across gradients of elevation, aspect, vegetation type, and proximity to nearby conifer forest. The most dynamic locations were low density conifer woodlands on northerly aspects at lower elevations, with average annual rates of increase up to 0.51%. This study is significant because it demonstrates that rates of conifer cover increase vary across biophysical gradients, an important consideration for management of dynamic forest ecosystems. Improved understanding of this variability helps us to better understand what factors ultimately cause conifer cover increase. It is also a critical step towards accurate quantification of the magnitude of carbon uptake by conifer cover increase."
inbreeding and conservation genetics in whitebark pine,"Whitebark pine (Pinus albicaulis Engelm.) is threatened across its native range by an exotic fungal pathogen introduced within the last century. Mortality has been extensive, and projected potential range shifts based on impending climate change have revealed further pressures to survival and adaptation for this long-lived, high-elevation conifer. Quantifying genetic variation and the mating system of whitebark pine in its northern range provides a basis for effective conservation measures. Isozyme analysis of vegetative bud tissue revealed high expected heterozygosity (0.262), moderate population differentiation (F-ST = 0.061) and highly significant correlations between observed heterozygosity and geographic variables (R-2 = 0.36, latitude; R-2 = 0.30 longitude), supporting the hypothesis that this species recolonized its current northern range following glacial retreat from several refugia in the Washington and Oregon Cascades and in the northern Rockies. Mating system analysis based on simultaneous isozyme analyses of embryo and haploid megagametophyte tissues found relatively high levels of consanguineous mating and selfing for a conifer (t(m) = 0.73) within populations. Avian seed distribution by the Clark's nutcracker (Nucifragia columbiana Wilson) appears to be the overriding factor influencing genetic patterns: being a mutualistic seed disperser, caches comprised of related seeds develop into clumped stands with strong family substructure. While it is a critical wildlife habitat component, lack of commercial utilization has made in situ adaptation the primary conservation focus. Encouraging regeneration success and nutcracker caching by maintaining natural fire regimes will provide an ecosystem-based conservation solution; however, in the Rocky Mountains between 52degreesN and 47degreesN, disease-resistant individuals should be located and propagated in order to ensure long-term survival of the species in high pathogen hazard areas."
linking observed and general circulation model upper air circulation patterns to current and future snow runoff for the rocky mountains,"Snowmelt runoff from alpine areas is the primary source of streamflow and water supply in western North America. Increasingly, questions about the impacts of global climate change on watershed yield are being asked. This paper is a forecast of expected changes to runoff for two key rivers in western North America. The paper develops and applies linkages between historical and general circulation model (GCM) upper air circulation patterns deemed to control winter precipitation in the northern Rocky Mountain states and southern Alberta. Historical and 1 x CO2 GCM upper airflow conditions are quite similar, but there are substantive variations in the GCM 2 x CO2 upper airflows. Relative occurrence (dominance) of historical synoptic patterns is statistically linked to historical spring runoff for the Oldman and Colorado Rivers. These linkages are used to forecast variation in the future runoff on the basis of variations in synoptic pattern statistics for the 2 x CO2 GCM upper airflow patterns."
pacific northwest climate sensitivity simulated by a regional climate model driven by a gcm part ii: 2xco(2) simulations,"Global climate change due to increasing concentrations of greenhouse gases has stimulated numerous studies and discussions about its possible impacts on water resources. Climate scenarios generated by climate models at spatial resolutions ranging from about 50 km to 400 km may not provide enough spatial specificity for use in impact assessment. In Parts I and II of this paper. the spatial specificity issue is addressed by examining what information on mesoscale and small-scale spatial features can be gained by using a regional climate model with a subgrid parameterization of orographic precipitation and land surface cover, driven by a general circulation model. Numerical experiments have been performed to simulate the present-day climatology and the climate conditions corresponding to a doubling of atmospheric CO2 concentration. This paper describes and contrasts the large-scale and mesoscale features of the greenhouse warming climate signals simulated by the general circulation modal and regional climate model over the Pacific Northwest. Results indicate that changes in the large-scale circulation exhibit strong seasonal variability. There is an average warming of about 2 degrees C, and precipitation generally increases over the Pacific Northwest and decreases over California. The precipitation signal over the Pacific Northwest is only statistically significant during spring, when both the change in the large-scale circulation and increase in water vapor enhance the moisture convergence toward the north Pacific coast. The combined effects of surface temperature and precipitation changes are such that snow cover is reduced by up to 50% on average, causing large changes in the seasonal runoff. This paper also describes the high spatial resolution (1.5 km) climate signals simulated by the regional climate model. Reductions in snow cover of 50%-90% are found in areas near the snow line of the control simulation. Analyses of the variations of the climate signals with surface elevation ranging from sea level to 4000 m over two mountain ranges in the Pacific Northwest show that because of changes in the alitude of the freezing level, strong elevation dependency is found in the surface temperature, rainfall. snowfall, snow cover, and runoff signals."
