title,paper_id,location
Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,"44.2243516,-122.1995577; 44.1542012,-122.8601981"
Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,"44.2243516,-122.1995577; 44.1542012,-122.8601981"
Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,"51.0770982,-118.2554909"
Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,"51.0770982,-118.2554909"
"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,"48.3833368,-113.6188487"
"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,"48.3833368,-113.6188487"
"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,"50.2354869,-119.4802421"
"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,"50.2354869,-119.4802421"
Rapid increases and time-lagged declines in amphibian occupancy after wildfire.,24,"48.5838247,-114.0040341"
Rapid Increases and Time-Lagged Declines in Amphibian Occupancy after Wildï¬Åre,24,"48.5838247,-114.0040341"
"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,"48.6675611,-114.1138973"
"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,"48.6675611,-114.1138973"
Application of a land class hydrological model to climatic change.,28,"50.1547841,-116.0882144"
Application of a land class hydrological model to climatic change.,28,"50.1547841,-116.0882144"
"Genetic architecture and phenotypic plasticity of thermally-regulated traits in an eruptive species, Dendroctonus ponderosae",30,"One point in CRB stanley, ID: 44.14157, -114.89354"
"Genetic architecture and phenotypic plasticity of thermally-regulated traits in an eruptive species, Dendroctonus ponderosae",30,"One point in CRB stanley, ID: 44.14157, -114.89354"
"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA",31,"46.268226,-119.314407"
"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA.",31,"46.268226,-119.314407"
"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA.",31,"46.268226,-119.314407"
