reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
AM,Global greenhouse to icehouse and back again: The origin and future of the Boreal Forest biome,1,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boreal forest - basically not in CRB, though it might *technically* extend in by a little bit?",NA,NA
DH,Global greenhouse to icehouse and back again: The origin and future of the Boreal Forest biome,1,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hard to tell but I don't believe this is relevant to our study.,NA,NA
AM,Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,2,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",British Columbia,Forest: temperate,"0101 - Kootenai, Kooteney (Canada), Columbia (Canada)","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Pests and disease, Forest Ecology, Dendrochronology",NA,NA,NA
MF,Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,2,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",NA,Forest: temperate,"0101 - Kootenai, Kooteney (Canada), Columbia (Canada)","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Pests and disease, Forest Ecology, Dendrochronology",NA,NA,NA
AM,"A 2000-YEAR ENVIRONMENTAL HISTORY OF JACKSON HOLE, WYOMING, INFERRED FROM LAKE-SEDIMENT RECORDS",3,None of these or not in the CRB,NA,Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"43.7543165,-110.7320007",Forest: temperate,0401 - Snake headwaters,Point data collected specifically for this study,Not in CRB,"Glaciers, Lacustrine Systems, Range Shifts, Wildfire, Forest Ecology, Paleoecology; Environmental history","The tie to modern climate change is somewhat tenuous, and I'm not sure our topics capture this paper very well.",NA,NA
CMC,"A 2000-year environmental history of Jackson Hole, Wyoming, inferred from lakesediment records
",3,None of these or not in the CRB,NA,NA,NA,NA,Forest: temperate,0401 - Snake headwaters,NA,Not in CRB,"Glaciers, Lacustrine Systems, Range Shifts, Wildfire, Forest Ecology, Paleoecology; Environmental history",Jackson hole is not in the CRB plus this is pretty paleo,NA,NA
AM,Structure and Detectability of Trends in Hydrological Measures over the Western United States,4,Impacts,Observed impacts,100 km2 - 500 km2 (HUC 12 is 100 km2),Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: streams and rivers",NA,"Gridded, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,"""Using key hydrologic measures—including JFM temperature, fraction of days with snow, SWE/Precip(ONDJFM), and JFM runoff fractions—we find that the observed winter temperature and each of the hydrologic measures have undergone significant trends over considerable parts (37%–89%) of the snow-dominated western United States (Fig. 6). These trends are not likely to have resulted from natural variability alone..."""
MF,Structure and Detectability of Trends in Hydrological Measures over the Western United States,4,Impacts,Observed impacts,"Point or plot scale, 1-900 m2 (1-30m; Landsat size or smaller), Downscales point data",Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: streams and rivers",NA,"Gridded, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,NA
AM,Genetic differences in the elevational limits of native and introduced Lactuca serriola populations,5,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,Biology,"Pests and disease, Range Shifts","The only way this paper is about the CRB is that they took seeds from the Wallowas and planted them in Switzerland. The climate change connection is also pretty tenuous: it's about elevation limits for this species, but the discussion doesn't really address climate change at all (it's very briefly mentioned in the introduction).",NA,NA
CMC,"Genetic differences in the elevational limits of native and introduced Lactuca serriola populations
",5,none of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of a tough one. A lot of the research takes place in switzerland but there is actually field data in the Wallowas. The author also uses the term adaptation to describe the altitudinal shift of a plant species which seems sort of unusual.,NA,NA
