Timestamp,name,title,paper_id,"Is this paper in the Columbia River Basin, and does it primarily address climate change impacts, adaptation, or mitigation?","Does this study make a quantitative estimate of climate change impacts on natural or human systems in the future? (equivalent to ""projected impacts"").","Does this study identify an environmental change or trend and discuss its attribution to  climate change? (equivalent to ""observed impacts."" This requires multiple decades of data.)",In what biome(s) is this research conducted?,What is the spatial extent (size of study area) of data in this paper?,Select at least one option every time. Which HUC 6 watershed(s) did the study take place?,"Enter place name and GPS points if they are easily identifiable (e.g., study includes point data).",What discipline(s) does this study address?,What topic(s) does this study address?,List concerns or uncertainty when coding this paper.,Copy and paste or summarize content related to our research questions.,Copy and paste or summarize content related to research in mountainous environments.,Was new data collected for this study?
3/31/2018 15:46:16,pe,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,no,no,"grassland: temperate, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0601 - lower snake,"45.1800038,-117.4975095","ecology, geography","temperature, precipitation, species invasion, range shifts, soils, management, forest ecology",NA,NA,NA,NA
4/3/2018 13:09:03,am,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,no,no,"grassland: temperate, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0601 - lower snake,"45.1800038,-117.4975095","ecology, geography","temperature, precipitation, species invasion, range shifts, soils, management, forest ecology",climate change connection is pretty tenuous. difficult to tell spatial extent - refers to 80 km area in text.,NA,NA,NA
4/3/2018 20:21:48,cc,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,no,no,"grassland: temperate, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0601 - lower snake,"wallowa mountains; 45.180 , -117.480","ecology, geography","temperature, precipitation, species invasion, range shifts, soils, management, forest ecology",NA,NA,NA,NA
3/31/2018 16:01:02,pe,diversifying managed forests to increase resilience,170,adaptation,no,no,forest: temperate,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),okanagan (canada),"wallowa mountains; 45.180 , -117.480",forestry,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, community resilience (human), policy, management",NA,NA,NA,NA
4/3/2018 14:05:01,am,diversifying managed forests to increase resilience,170,adaptation,no,no,forest: temperate,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),okanagan (canada),"merritt timber supply area; 49.473877, -119.880129",forestry,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, community resilience (human), policy, management",NA,NA,NA,NA
4/3/2018 20:42:41,cc,diversifying managed forests to increase resilience,170,adaptation,no,no,forest: temperate,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),okanagan (canada),"merritt timber supply area; 49.473877, -119.880129",forestry,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, community resilience (human), policy, management",NA,NA,NA,NA
3/31/2018 16:10:49,pe,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,no,no,alpine/tundra,western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,"biology, geography","temperature, precipitation, pests and disease, range shifts, forest ecology",NA,NA,NA,NA
4/3/2018 14:10:49,am,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,no,no,alpine/tundra,western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,"biology, geography","temperature, precipitation, pests and disease, range shifts, forest ecology",review/conceptual model - not spatially explicit.,NA,NA,NA
4/3/2018 21:07:02,cc,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,no,no,alpine/tundra,western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,"biology, geography","temperature, precipitation, pests and disease, range shifts, forest ecology",conceptual model,NA,NA,NA
4/3/2018 14:31:14,am,"summer stream temperatures influence sculpin distributions and spatial partitioning in the upper clark fork river basin, montana",226,impacts,no,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"clark fork; 46.8764175,-114.0882067",ecology,"temperature, precipitation, streamflow/stream forecasting, non-anadromous fish, aquatic habitat, steam temperature, range shifts",NA,NA,NA,NA
4/3/2018 21:18:34,cc,"summer stream temperatures influence sculpin distributions and spatial partitioning in the upper clark fork river basin, montana",226,impacts,no,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"clark fork; 46.8764175,-114.0882067",ecology,"temperature, precipitation, streamflow/stream forecasting, non-anadromous fish, aquatic habitat, steam temperature, range shifts",NA,NA,NA,NA
4/12/2018 13:12:26,mf,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,282,impacts,no,no,freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0501 - middle snake - boise (mica creek exp. for.),"boise river basin; 43.8,-116.0603081","biology, ecology","temperature, water quality, non-anadromous fish aquatic habitat",NA,NA,NA,no
5/2/2018 12:11:40,am,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,282,impacts,no,no,freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","boise river basin; 43.8,-116.0603081","biology, ecology","temperature, water quality, non-anadromous fish aquatic habitat",NA,NA,NA,no
4/11/2018 21:53:06,tl,potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,impacts,yes,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,"meteorology and climatology, hydrology, geology, biology, ecology","temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, salmon, non-anadromous fish, aquatic habitat, management",a little unclear whether just ecology or ecology and biology should be noted,from abstract: our approach can be used to prioritize management strategies according to relative risk to different species or spatial distributions of risk and can be used to predict temporal shifts in the spatial distribution of suitable spawning habitats.,"from abstract: a general framework is presented to examine this issue, using a series of physical models that link climate change, streamflow, and channel morphology to predict the magnitude and spatial distribution of streambed scour and consequent risk to salmonid embryos at basin scales. the approach is demonstrated for a mountain catchment in the northern rocky mountains, usa.",no
4/12/2018 13:21:06,mf,potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,impacts,yes,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,"meteorology and climatology, hydrology, geology, biology, ecology","temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, salmon, non-anadromous fish, aquatic habitat, management",NA,NA,NA,no
7/5/2018 8:54:43,cc,oregon hydrologic landscapes: a classification framework,284,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all oregon,na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, lacustrine systems, groundwater, water quality, water quantity, river geomorphology and restoration, soils",NA,watershed classification scheme for oregon,NA,no
4/12/2018 13:39:12,mf,oregon hydrologic landscapes: a classification framework,284,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all oregon,na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, lacustrine systems, groundwater, water quality, water quantity, river geomorphology and restoration, soils",NA,NA,NA,no
4/12/2018 13:47:55,mf,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",285,impacts,no,yes,alpine/tundra,"100 km2 - 1,500 km2",columbia (canada),"46.735751,-117.0095872","hydrology, geology","temperature, glaciers",NA,NA,NA,no
6/8/2018 6:34:06,sh,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",285,impacts,no,yes,alpine/tundra,"100 km2 - 1,500 km2",columbia (canada),"46.735751,-117.0095872","hydrology, geology","temperature, glaciers",NA,NA,NA,no
