reviewer,title,paper_id,inclusion_IAM,projected,observed,biome,extent,huc6,location,discipline,topic,concerns,notes1,notes2,new_data
pe,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,no,no,"grassland: temperate, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0601 - lower snake,"45.1800038,-117.4975095","ecology, geography","temperature, precipitation, species invasion, range shifts, soils, management, forest ecology",NA,NA,NA,NA
am,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,no,no,"grassland: temperate, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0601 - lower snake,"45.1800038,-117.4975095","ecology, geography","temperature, precipitation, species invasion, range shifts, soils, management, forest ecology",climate change connection is pretty tenuous. difficult to tell spatial extent - refers to 80 km area in text.,NA,NA,NA
cc,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,no,no,"grassland: temperate, forest: temperate","1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0601 - lower snake,"wallowa mountains; 45.180 , -117.480","ecology, geography","temperature, precipitation, species invasion, range shifts, soils, management, forest ecology",NA,NA,NA,NA
pe,diversifying managed forests to increase resilience,170,adaptation,no,no,forest: temperate,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),okanagan (canada),"wallowa mountains; 45.180 , -117.480",forestry,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, community resilience (human), policy, management",NA,NA,NA,NA
am,diversifying managed forests to increase resilience,170,adaptation,no,no,forest: temperate,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),okanagan (canada),"merritt timber supply area; 49.473877, -119.880129",forestry,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, community resilience (human), policy, management",NA,NA,NA,NA
cc,diversifying managed forests to increase resilience,170,adaptation,no,no,forest: temperate,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),okanagan (canada),"merritt timber supply area; 49.473877, -119.880129",forestry,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, community resilience (human), policy, management",NA,NA,NA,NA
pe,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,no,no,alpine/tundra,western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,"biology, geography","temperature, precipitation, pests and disease, range shifts, forest ecology",NA,NA,NA,NA
am,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,no,no,alpine/tundra,western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,"biology, geography","temperature, precipitation, pests and disease, range shifts, forest ecology",review/conceptual model - not spatially explicit.,NA,NA,NA
cc,invasive pathogens at alpine treeline: consequences for treeline dynamics,209,impacts,no,no,alpine/tundra,western us and/or western us plus canada,all basins in the rocky mountains (including canada),na/not appropriate for point data,"biology, geography","temperature, precipitation, pests and disease, range shifts, forest ecology",conceptual model,NA,NA,NA
am,"summer stream temperatures influence sculpin distributions and spatial partitioning in the upper clark fork river basin, montana",226,impacts,no,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"clark fork; 46.8764175,-114.0882067",ecology,"temperature, precipitation, streamflow/stream forecasting, non-anadromous fish, aquatic habitat, steam temperature, range shifts",NA,NA,NA,NA
cc,"summer stream temperatures influence sculpin distributions and spatial partitioning in the upper clark fork river basin, montana",226,impacts,no,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s),"clark fork; 46.8764175,-114.0882067",ecology,"temperature, precipitation, streamflow/stream forecasting, non-anadromous fish, aquatic habitat, steam temperature, range shifts",NA,NA,NA,NA
mf,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,282,impacts,no,no,freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",0501 - middle snake - boise (mica creek exp. for.),"boise river basin; 43.8,-116.0603081","biology, ecology","temperature, water quality, non-anadromous fish aquatic habitat",NA,NA,NA,no
am,characterizing the thermal suitability of instream habitat for salmonids: a cautionary example from the rocky mountains,282,impacts,no,no,freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","boise river basin; 43.8,-116.0603081","biology, ecology","temperature, water quality, non-anadromous fish aquatic habitat",NA,NA,NA,no
