Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it primarily address climate change impacts, adaptation, or mitigation? If the answer is ""None of these,"" leave the rest of the answers blank.","Does this study make a quantitative estimate of climate change impacts on natural or human systems in the future? (equivalent to ""projected impacts"").","Does this study identify an environmental change or trend and discuss its attribution to  climate change? (equivalent to ""observed impacts."" This requires multiple decades of data.)",In what biome(s) is this research conducted?,What is the spatial extent (size of study area) of data in this paper?,"Select at least one option every time. Which HUC 6 watershed(s) did the study take place? IF it includes a whole state select the state, IF it includes ALL of the watersheds within the CRB select the appropriate box (US. vs. Canada vs. both). IF it is all of one state and part of another, select the whole state and then select the individual HUC6s from the other state. See codebook.","Enter place name and GPS points if they are easily identifiable (e.g., study includes point data). Separate multiple points with a semi-colon. See codebook for format details. Example: Wallowa Mountains; 45.180 , -117.480; Yellowstone National Park; 44.584418,-111.0758737",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address?,List concerns or uncertainty when coding this paper.,Copy and paste or summarize content related to our research questions.,Copy and paste or summarize content related to research in mountainous environments.,Was new data collected for this study?
4/3/2018 20:21:48,CC,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,Yes,No,"Grassland: temperate, Forest: temperate","100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)",0601 - Lower Snake,"Wallowa Mountains; 45.180 , -117.480","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study","Ecology, Geography","Temperature, Species Invasion, Range Shifts, elevation gradient",NA,NA,NA,NA
4/3/2018 13:09:03,AM,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,No,No,"Grassland: temperate, Forest: temperate","100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)",0601 - Lower Snake,"45.3, -117.8","Gridded or polygons, Point data collected specifically for this study",Ecology,"Temperature, Precipitation, Species Invasion, Range Shifts, Forest Ecology",Climate change connection is pretty tenuous. Difficult to tell spatial extent - refers to 80 km area in text.,NA,NA,NA
3/31/2018 15:46:16,PE,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,No,Yes,Forest: temperate,Point or plot scale,0601 - Lower Snake,"45.1800038,-117.4975095",Point data collected specifically for this study,"Ecology, Geography","Temperature, Precipitation, Species Invasion, Range Shifts, Soils, Management",NA,NA,NA,NA
4/3/2018 20:42:41,CC,Diversifying managed forests to increase resilience,170,Adaptation,Yes,No,Forest: temperate,"10,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",Okanagan (Canada),"Merritt Timber Supply Area; 49.473877, -119.880129","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study, Secondary social data (e.g., census data, existing survey data), Policy data",Forestry,"Temperature, Precipitation, Pests and disease, Wildfire, Timber production/Silviculture, Community resilience (human), Policy, Management",NA,NA,NA,NA
4/3/2018 14:05:01,AM,Diversifying managed forests to increase resilience,170,Adaptation,No,No,Forest: temperate,"10,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",Okanagan (Canada),"49.4622281,-120.5418398","Gridded or polygons, Point data NOT collected specifically for this study",Forestry,"Temperature, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA,NA
3/31/2018 16:01:02,PE,Diversifying managed forests to increase resilience,170,Impacts,No,Yes,Forest: temperate,"10,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",Okanagan (Canada),"50.1160611,-120.8761695",Gridded or polygons,Forestry,"Pests and disease, Forest Ecology, Policy, Management",NA,NA,NA,NA
4/3/2018 21:07:02,CC,Invasive pathogens at alpine treeline: Consequences for treeline dynamics,209,Impacts,No,No,Forest: temperate,Western US and/or Western US plus Canada,All basins in the Rocky Mountains (including Canada),NA/Not appropriate for point data,Review,Biology,"Temperature, Precipitation, Pests and disease, Range Shifts, Forest Ecology",conceptual model,NA,NA,NA
4/3/2018 14:10:49,AM,Invasive pathogens at alpine treeline: Consequences for treeline dynamics,209,Impacts,No,No,Forest: temperate,Western US and/or Western US plus Canada,All basins in the Rocky Mountains (including Canada),NA/Not appropriate for point data,No data (example: conceptual modeling only),Geography,"Temperature, Pests and disease, Range Shifts",Review/conceptual model - not spatially explicit.,NA,NA,NA
3/31/2018 16:10:49,PE,Invasive pathogens at alpine treeline: Consequences for treeline dynamics,209,Impacts,No,Yes,Alpine/tundra,Point or plot scale,Kooteney (Canada),"51.0816402,-120.5235115",Point data collected specifically for this study,"Biology, Geography","Temperature, Pests and disease, Range Shifts, Forest Ecology",NA,NA,NA,NA
4/3/2018 21:18:34,CC,"Summer Stream Temperatures Influence Sculpin Distributions and Spatial Partitioning in the Upper Clark Fork River Basin, Montana",226,NA,Yes,Yes,Freshwater: streams and rivers,"10,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s),Clark Fork River,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Non-anadromous fish, Aquatic habitat, Steam temperature",NA,NA,NA,NA
4/3/2018 14:31:14,AM,"Summer Stream Temperatures Influence Sculpin Distributions and Spatial Partitioning in the Upper Clark Fork River Basin, Montana",226,Impacts,No,No,Freshwater: streams and rivers,"10,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s),"46.8764175,-114.0882067",Point data collected specifically for this study,Ecology,"Temperature, Water quality, Non-anadromous fish, Aquatic habitat, Range Shifts",NA,NA,NA,NA
5/2/2018 12:11:40,AM,Characterizing the Thermal Suitability of Instream Habitat for Salmonids: A Cautionary Example from the Rocky Mountains,282,Impacts,No,No,Freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)","0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","Boise River Basin; 43.8,-116.0603081",NA,"Biology, Ecology","Temperature, Water quality, Non-anadromous fish",NA,NA,NA,Yes
4/12/2018 13:12:26,MF,Characterizing the Thermal Suitability of Instream Habitat for Salmonids: A Cautionary Example from the Rocky Mountains,282,Adaptation,Yes,Yes,Freshwater: streams and rivers,"100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)",0501 - Middle Snake - Boise (Mica Creek Exp. For.),"43.8207152,-117.0435016",NA,Ecology,"Temperature, Salmon, Aquatic habitat",NA,NA,NA,No
4/12/2018 13:21:06,MF,Potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,Impacts,Yes,Yes,Freshwater: streams and rivers,"100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)",0602 - Salmon (includes Bitterroot Mt.s),"44.9291009,-115.5251932",NA,"Hydrology, Geology","Temperature, Precipitation, Snow, River geomorphology and restoration, Salmon, Aquatic habitat",NA,NA,NA,No
4/11/2018 21:53:06,TL,Potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,Impacts,Yes,No,Freshwater: streams and rivers,"100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)",0602 - Salmon (includes Bitterroot Mt.s),NA/Not appropriate for point data,NA,"Meteorology and Climatology, Hydrology, Geology, Biology, Ecology","Streamflow/stream forecasting, River geomorphology and restoration, Salmon, Non-anadromous fish, Aquatic habitat, Management",a little unclear whether just ecology or ecology and biology should be noted,From abstract: Our approach can be used to prioritize management strategies according to relative risk to different species or spatial distributions of risk and can be used to predict temporal shifts in the spatial distribution of suitable spawning habitats.,"From abstract: A general framework is presented to examine this issue, using a series of physical models that link climate change, streamflow, and channel morphology to predict the magnitude and spatial distribution of streambed scour and consequent risk to salmonid embryos at basin scales. The approach is demonstrated for a mountain catchment in the Northern Rocky Mountains, USA.",No
7/5/2018 8:54:43,CC,Oregon Hydrologic Landscapes: A Classification Framework,284,Impacts,No,No,"Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers","Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All Oregon,NA/Not appropriate for point data,NA,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Lacustrine Systems, Groundwater, Water quality, Water quantity",NA,watershed classification scheme for Oregon,NA,No
4/12/2018 13:39:12,MF,Oregon Hydrologic Landscapes: A Classification Framework,284,Impacts,No,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All Oregon,NA/Not appropriate for point data,NA,Hydrology,"Streamflow/stream forecasting, River geomorphology and restoration, Soils",NA,NA,NA,No
6/8/2018 6:34:06,SH,"Glacier change of the Columbia Icefield, Canadian Rocky Mountains, 1919-2009",285,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),1-100 km2 (HUC 12 is 100 km2),Kooteney (Canada),"52.1945525,-117.2877503",NA,"Hydrology, Geology","Temperature, Glaciers",NA,NA,NA,Yes
