reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
dh,"long-duration drought variability and impacts on ecosystem services: a case study from glacier national park, montana",10,impacts,climate change implications,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"48.7596128,-113.7870225","alpine tundra, forest: temperate",0102 - pend oreille,"points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study",meteorology and climatology,"temperature, precipitation, snow, salmon, forest ecology, dendrochronology, agriculture, management, water quantity",really close to getting disqualified as paleo.... i would almost nix it but decided to code in none the less to keep the peace,NA,NA
am,spatial variation of snowmelt and sublimation in a high-elevation semi-desert basin of western canada,100,impacts,climate change implications,point or plot scale,>10km2 - 100km2 (smaller than huc 12),"50.2198941,-119.7724407",forest: temperate,okanagan (canada),point data collected specifically for this study,hydrology,"temperature, precipitation, snow, water quantity, sublimation",NA,NA,NA
am,"connecting phenological predictions with population growth rates for mountain pine beetle, an outbreak insect",101,impacts,climate change implications,900m2 - 1km2,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"44.083431,-114.9119987",forest: temperate,0602 - salmon,"gridded or polygons, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study","ecology, forestry","temperature, pests and disease, forest ecology",NA,NA,NA
pe,"estimating land cover-induced increases in daytime summer temperatures near mt. adams, washington",102,impacts,climate change implications,point or plot scale,>10km2 - 100km2 (smaller than huc 12),"46.2023677,-121.4998255",forest: temperate,"0300 - yakima, 0701 - middle columbia, 0800 - lower columbia","points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study","meteorology and climatology, forestry","temperature, snow, glaciers, timber production/silviculture, forest ecology, soils",NA,NA,NA
am,influence of bioclimatic variables on tree-line conifer distribution in the greater yellowstone ecosystem: implications for species of conservation concern,103,impacts,"projected impacts, climate change implications",point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"44.5844248,-111.0744994",forest: temperate,"0401 - snake headwaters, 0402 - upper snake","points in an observation network (e.g. snotel), point data not collected specifically for this study,  us forest service forest inventory and analysis program",ecology,"pests and disease, range shifts, forest ecology, management, temperature, precipitation",NA,NA,NA
dh,"assessing community vulnerability: a study of the mountain pine beetle outbreak in british columbia, canada",104,adaptation,NA,point or plot scale,western us and/or western us plus canada,british columbia,forest: temperate,"kooteney (canada), columbia (canada)","point data not collected specifically for this study, primary social data (e.g., interviews conducted for this study), secondary social data (e.g., census data, existing survey data), policy data, review","anthropology/sociology, policy or management","temperature, timber production/silviculture, forest ecology, agriculture, community resilience (human), attitudes and beliefs, policy, management, pests and disease",NA,NA,NA
mf,"conifer cover increase in the greater yellowstone ecosystem: frequency, rates, and spatial variation",105,impacts,climate change implications,1-900 m2 (1-30m; landsat size or smaller),"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",NA,forest: temperate,0402 - upper snake,gridded or polygons,"ecology, forestry","temperature, range shifts, timber production/silviculture, forest ecology, soils",NA,NA,NA
cmc,"inbreeding and conservation genetics in whitebark pine
",106,adaptation,"observed impacts, climate change implications",point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","western united states, british columbia",forest: temperate,"kooteney (canada), columbia (canada), okanagan (canada)",point data collected specifically for this study,forestry,"temperature, precipitation, timber production/silviculture, forest ecology, management",NA,NA,NA
am,linking observed and general circulation model upper air circulation patterns to current and future snow runoff for the rocky mountains,107,impacts,projected impacts,point or plot scale,western us and/or western us plus canada,western united states,alpine tundra,"all crb, both us and canada",gridded or polygons,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity","really continental north america more than western us; they analyze connections to streamflow, but not in the crb.",NA,NA
pe,pacific northwest climate sensitivity simulated by a regional climate model driven by a gcm. part ii: 2xco(2) simulations,108,impacts,"projected impacts, climate change implications",>1km2 - 10km2 (city of moscow is 2.6 km2),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","washington, oregon, idaho, montana",n/a (not biome specific or all biomes - see codebook),all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, carbon emissions",NA,NA,NA
am,phenology-mediated effects of climatic change on some simulated british columbia forests,109,impacts,projected impacts,not clear,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",british columbia,forest: temperate,"kooteney (canada), columbia (canada), okanagan (canada)",no data (example: conceptual modeling only),forestry,"temperature, precipitation, range shifts, forest ecology",data is unclear.,NA,NA
mf,"future water supply and demand in the okanagan basin, british columbia: a scenario-based analysis of multiple, interacting stressors",11,impacts,projected impacts,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),NA,forest: temperate,okanagan (canada),"gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study, secondary social data (e.g., census data, existing survey data)",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, aquatic habitat, management, groundwater",NA,NA,NA
am,projected changes in snowfall extremes and interannual variability of snowfall in the western united states,113,impacts,projected impacts,point or plot scale,western us and/or western us plus canada,western united states,"alpine/tundra, forest: temperate",all in crb u.s.,"gridded, points in an observation network (e.g. snotel), polygons the size and shapes of fires",meteorology and climatology,"temperature, precipitation, snow",NA,NA,NA
pe,"epiphytic lichen indication of nitrogen deposition and climate in the northern rocky mountains, usa",114,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","46.8798202,-113.9627224",forest: temperate,"0102 - pend oreille, 0401 - snake headwaters, 0402 - upper snake","gridded or polygons, point data collected specifically for this study",ecology,"temperature, precipitation, snow, forest ecology, management",NA,NA,NA
am,recent tree mortality and recruitment in mature and old-growth forests in western washington,115,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","46.8600215,-121.8550078",forest: temperate,"0200 - upper columbia, 0300 - yakima","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study",forestry,"temperature, precipitation, range shifts, timber production/silviculture, forest ecology",NA,NA,NA
dh,projections of contemporary and future climate niche for wyoming big sagebrush (artemisia tridentata subsp wyomingensis): a guide for restoration,116,impacts,projected impacts,900m2 - 1km2,western us and/or western us plus canada,NA,"grassland: temperate, desert: semi-arid desert","all crb, both us and canada",gridded,ecology,"temperature, precipitation, snow, terrestrial wildlife, range shifts, soils, management, wildfire, forest ecology, management",NA,NA,NA
am,patterns of regional hydroclimatic shifts: an analysis of changing hydrologic regimes,117,impacts,"observed impacts, climate change implications",point or plot scale,western us and/or western us plus canada,western united states,"alpine tundra, grassland: temperate, forest: temperate, freshwater: streams and rivers",all in crb u.s.,points in an observation network (e.g. snotel),hydrology,"temperature, precipitation, streamflow/stream forecasting, water quantity","really continental u.s., but i selected western u.s. not sure if this was right - or whether it should be in our corpus? they do have a focused component on pacific northwest.",NA,NA
dh,dietary plasticity in pikas as a strategy for atypical resource landscapes,118,impacts,climate change implications,point or plot scale,>1km2 - 10km2 (city of moscow is 2.6 km2),"45.7247666,-121.5740677","alpine/tundra, forest: temperate, grassland: temperate",0701 - middle columbia,point data collected specifically for this study,biology,"temperature, precipitation, snow, water quality, water quantity, terrestrial wildlife, range shifts, management",NA,NA,NA
am,artificial amplification of warming trends across the mountains of the western united states,12,impacts,"observed impacts, climate change implications",point or plot scale,western us and/or western us plus canada,western united states,"alpine tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",NA,points in an observation network (e.g. snotel),meteorology and climatology,"temperature, precipitation, snow",NA,NA,NA
cmc,modulation of linear and nonlinear hydroclimatic dynamics by mountain glaciers in canada and norway: results from information-theoretic polynomial selection,120,impacts,observed impacts,point or plot scale,glaciated area comparison between rockies and norway,"british columbia, 50.986700, -118.180661; 49.757254, -116.467111 (table 1)",alpine tundra,"kooteney (canada), columbia (canada)","gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quantity",NA,"it was therefore assessed in this study how the presence or absence of watershed glacial cover affects streamﬂow responses to both low- and high-frequency climatic variations, with a particular emphasis on the consideration of nonlinear effects. an information theory-based approach was adapted to this purpose and applied to seasonally high-resolution data from paired catchments in the southern canadian rocky mountains and arctic coastal norway.",NA
mf,the missing mountain water: slower westerlies decrease orographic enhancement in the pacific northwest usa,121,impacts,"observed impacts, climate change implications",point or plot scale,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",NA,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,"gridded, points in an observation network (e.g. snotel), point data not collected specifically for this study","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity",NA,NA,"we demonstrate that observed streamflow declines are probably associated with declines in mountain precipitation, revealing"
am,restoring salmon habitat for a changing climate,122,adaptation,NA,review paper,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",columbia river basin,freshwater: streams and rivers,"all crb, both us and canada",review,ecology,"temperature, streamflow/stream forecasting, water quality, water quantity, salmon, aquatic habitat, management, salmon",NA,NA,this might be interesting to cite as a paper that reviews a bunch of literature on climate change impacts on salmon in the crb and then discusses adaptation options/planning. relevant as (1) the utility of a review paper with our geographic scope and (2) climate impacts on salmon
pe,bed stability in unconfined gravel bed mountain streams: with implications for salmon spawning viability in future climates,123,impacts,climate change implications,point or plot scale,>1km2 - 10km2 (city of moscow is 2.6 km2),"44.4493483,-115.2399903",freshwater: streams and rivers,0602 - salmon,"point data collected specifically for this study, point data not collected specifically for this study",hydrology,"streamflow/stream forecasting, water quality, salmon, aquatic habitat, water quantity",NA,NA,NA
am,spatial heterogeneity in ecologically important climate variables at coarse and fine scales in a high-snow mountain landscape,124,impacts,climate change implications,point or plot scale,500 km2 - 1500 km2 (huc 10 is 587 km2),"46.8467306,-121.7821029","alpine/tundra, forest: temperate","0200 - upper columbia, 0701 - middle columbia","points in an observation network (e.g. snotel), point data collected specifically for this study",biology,"temperature, snow, range shifts, forest ecology, soils, precipitation",a little hard to tell whether mt rainier drains into middle or lower columbia,NA,NA
mf,"dynamically downscaled winter precipitation over complex terrain of the central rockies of western montana, usa",126,impacts,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",wyoming,n/a (not biome specific or all biomes - see codebook),"0102 - pend oreille, 0602 - salmon, 0603 - clearwater","gridded or polygons, points in an observation network (e.g. snotel)","meteorology and climatology, hydrology","precipitation, snow",NA,NA,NA
cmc,using expert judgments to explore robust alternatives for forest management under climate change,127,adaptation,observed impacts,workshop,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2), british columbia",british columbia,forest: temperate,all in crb canada,"primary social data (e.g., interviews conducted for this study), policy data",policy or management,"temperature, precipitation, species invasion, range shifts, wildfire, timber production/silviculture, forest ecology, community resilience (human), attitudes and beliefs, policy, management, pests and disease",NA,NA,NA
cmc,impacts of climate change on august stream discharge in the central-rocky mountains,128,impacts,observed impacts,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","idaho, british columbia, montana",freshwater: streams and rivers,"0101 - kootenai, 0102 - pend oreille, 0103 - spokane, 0401 - snake headwaters, 0402 - upper snake, 0501 - middle snake - boise, 0601 - lower snake, 0602 - salmon, 0603 - clearwater","gridded, points in an observation network (e.g. snotel), point data not collected specifically for this study, policy data, aerial photos",hydrology,"precipitation, snow, streamflow/stream forecasting, water quantity, salmon, aquatic habitat",NA,"importantly,nostudieshaveattemptedtodeterminetheextenttowhichclimaticchangesare affecting august stream discharge in the crms",NA
am,ensemble projections of wildfire activity and carbonaceous aerosol concentrations over the western united states in the mid-21st century,13,impacts,"projected impacts, climate change implications",1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2; 1 degree by 1 degree is also in this category),western us and/or western us plus canada,western united states,"grassland: temperate, forest: temperate, desert: semi-arid desert",NA,gridded or polygons,"meteorology and climatology, ecology","temperature, precipitation, wildfire",NA,NA,"""the median model results show consistent increases of 24–169% in area burned across much of the western united states in the warmer and drier future atmosphere, regardless of projection method."" - this includes an increase in projected area burned in the pacific northwest, though the model is relatively poor in the pnw."
mf,modeling the occurrence of 15 coniferous tree species throughout the pacific northwest of north america using a hybrid approach of a generic process-based growth model and decision tree analysis,132,impacts,climate change implications,900m2 - 1km2,western us and/or western us plus canada,columbia river basin,forest: temperate,all in crb u.s.,"gridded, points in an observation network (e.g. snotel), point data not collected specifically for this study",forestry,"temperature, precipitation, water quantity, range shifts, timber production/silviculture, forest ecology, management",NA,NA,NA
dh,adequacies and deficiencies of alpine and subalpine treeline studies in the national parks of the western usa,133,impacts,"projected impacts, climate change implications, observed impacts",point or plot scale,western us and/or western us plus canada,western united states,forest: temperate,"0102 - pend oreille, 0200 - upper columbia, 0300 - yakima, 0401 - snake headwaters",review,forestry,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quantity, range shifts, timber production/silviculture, forest ecology, agriculture, community resilience (human), attitudes and beliefs, soils, policy, management",NA,NA,NA
mf,"biology, status, and management of the yellowstone cutthroat trout",134,impacts,climate change implications,review,review,NA,"forest: temperate, freshwater: streams and rivers",0401 - snake headwaters,review,biology,"non-anadromous fish, aquatic habitat, management",NA,NA,NA
mf,"influences of climate, fire, grazing, and logging on woody species composition along an elevation gradient in the eastern cascades, washington",135,impacts,"observed impacts, climate change implications",point or plot scale,500 km2 - 1500 km2 (huc 10 is 587 km2),"47.2395716,-120.3158659","forest: temperate, desert: semi-arid desert","0200 - upper columbia, 0300 - yakima","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study",forestry,"wildfire, timber production/silviculture, forest ecology, dendrochronology, management, disturbance ecology, rangeland science,temperature, precipitation, range shifts",NA,NA,NA
